Year,Geography,Selected diseases,Age,Sex,Value
2017,Northwest Territories,Diphtheria - Pertussis and tetanus,by 2 years of age,All children,76.7
2017,Northwest Territories,Polio,by 2 years of age,All children,91.1
2017,Northwest Territories,Haemophilus influenzae type B,by 2 years of age,All children,75.5
2017,Northwest Territories,Measles,by 2 years of age,All children,91.8
2017,Northwest Territories,Mumps,by 2 years of age,All children,91.8
2017,Northwest Territories,Rubella,by 2 years of age,All children,91.8
2017,Nunavut,Diphtheria - Pertussis and tetanus,by 2 years of age,All children,63.8
2017,Nunavut,Polio,by 2 years of age,All children,82.1
2017,Nunavut,Haemophilus influenzae type B,by 2 years of age,All children,57.2
2017,Nunavut,Measles,by 2 years of age,All children,88.7
2017,Nunavut,Mumps,by 2 years of age,All children,88.7
2017,Nunavut,Rubella,by 2 years of age,All children,88.7
2017,Newfoundland and Labrador,Varicella,by 2 years of age,All children,95.1
2017,Newfoundland and Labrador,Meningococcal type C,by 2 years of age,All children,93.2
2017,Newfoundland and Labrador,Pneumococcal,by 2 years of age,All children,90.2
2017,Newfoundland and Labrador,Rotavirus,by 2 years of age,All children,
2017,Newfoundland and Labrador,Hepatitis B,by 2 years of age,All children,
2017,Prince Edward Island,Varicella,by 2 years of age,All children,92.0
2017,Prince Edward Island,Meningococcal type C,by 2 years of age,All children,92.7
2017,Prince Edward Island,Pneumococcal,by 2 years of age,All children,89.5
2017,Prince Edward Island,Rotavirus,by 2 years of age,All children,85.6
2017,Prince Edward Island,Hepatitis B,by 2 years of age,All children,86.7
2017,Nova Scotia,Varicella,by 2 years of age,All children,84.8
2017,Nova Scotia,Meningococcal type C,by 2 years of age,All children,81.8
2017,Nova Scotia,Pneumococcal,by 2 years of age,All children,80.4
2017,Nova Scotia,Rotavirus,by 2 years of age,All children,
2017,Nova Scotia,Hepatitis B,by 2 years of age,All children,
2017,New Brunswick,Varicella,by 2 years of age,All children,90.9
2017,New Brunswick,Meningococcal type C,by 2 years of age,All children,88.3
2017,New Brunswick,Pneumococcal,by 2 years of age,All children,82.2
2017,New Brunswick,Rotavirus,by 2 years of age,All children,
2017,New Brunswick,Hepatitis B,by 2 years of age,All children,81.0
2017,Quebec,Varicella,by 2 years of age,All children,76.1
2017,Quebec,Meningococcal type C,by 2 years of age,All children,89.9
2017,Quebec,Pneumococcal,by 2 years of age,All children,83.3
2017,Quebec,Rotavirus,by 2 years of age,All children,81.0
2017,Quebec,Hepatitis B,by 2 years of age,All children,75.7
2017,Ontario,Varicella,by 2 years of age,All children,84.3
2017,Ontario,Meningococcal type C,by 2 years of age,All children,85.7
2017,Ontario,Pneumococcal,by 2 years of age,All children,80.5
2017,Ontario,Rotavirus,by 2 years of age,All children,77.7
2017,Ontario,Hepatitis B,by 2 years of age,All children,
2017,Manitoba,Varicella,by 2 years of age,All children,81.6
2017,Manitoba,Meningococcal type C,by 2 years of age,All children,82.2
2017,Manitoba,Pneumococcal,by 2 years of age,All children,74.6
2017,Manitoba,Rotavirus,by 2 years of age,All children,68.4
2017,Manitoba,Hepatitis B,by 2 years of age,All children,
2017,Saskatchewan,Varicella,by 2 years of age,All children,84.8
2017,Saskatchewan,Meningococcal type C,by 2 years of age,All children,81.1
2017,Saskatchewan,Pneumococcal,by 2 years of age,All children,83.7
2017,Saskatchewan,Rotavirus,by 2 years of age,All children,84.0
2017,Saskatchewan,Hepatitis B,by 2 years of age,All children,
2017,Alberta,Varicella,by 2 years of age,All children,86.7
2017,Alberta,Meningococcal type C,by 2 years of age,All children,91.0
2017,Alberta,Pneumococcal,by 2 years of age,All children,82.6
2017,Alberta,Rotavirus,by 2 years of age,All children,
2017,Alberta,Hepatitis B,by 2 years of age,All children,
2017,British Columbia,Varicella,by 2 years of age,All children,83.7
2017,British Columbia,Meningococcal type C,by 2 years of age,All children,89.3
2017,British Columbia,Pneumococcal,by 2 years of age,All children,80.3
2017,British Columbia,Rotavirus,by 2 years of age,All children,80.2
2017,British Columbia,Hepatitis B,by 2 years of age,All children,69.7
2017,Yukon,Varicella,by 2 years of age,All children,85.5
2017,Yukon,Meningococcal type C,by 2 years of age,All children,93.7
2017,Yukon,Pneumococcal,by 2 years of age,All children,83.2
2017,Yukon,Rotavirus,by 2 years of age,All children,76.6
2017,Yukon,Hepatitis B,by 2 years of age,All children,62.8
2017,Northwest Territories,Varicella,by 2 years of age,All children,88.9
2017,Northwest Territories,Meningococcal type C,by 2 years of age,All children,95.2
2017,Northwest Territories,Pneumococcal,by 2 years of age,All children,63.8
2017,Northwest Territories,Rotavirus,by 2 years of age,All children,66.3
2017,Northwest Territories,Hepatitis B,by 2 years of age,All children,80.5
2017,Nunavut,Varicella,by 2 years of age,All children,82.1
2017,Nunavut,Meningococcal type C,by 2 years of age,All children,80.1
2017,Nunavut,Pneumococcal,by 2 years of age,All children,62.4
2017,Nunavut,Rotavirus,by 2 years of age,All children,
2017,Nunavut,Hepatitis B,by 2 years of age,All children,70.8
