Year,Geography,Age group,Sex,GeoCode,Value
2015,Saskatchewan,"Total, 12 years and over",Females,47,20.4
2015,Saskatchewan,12 to 17 years,Both sexes,47,
2015,Saskatchewan,12 to 17 years,Males,47,
2015,Saskatchewan,12 to 17 years,Females,47,
2015,Saskatchewan,18 to 34 years,Both sexes,47,24.0
2015,Saskatchewan,18 to 34 years,Males,47,26.3
2015,Saskatchewan,18 to 34 years,Females,47,21.5
2015,Saskatchewan,35 to 49 years,Both sexes,47,27.6
2015,Saskatchewan,35 to 49 years,Males,47,30.9
2015,Saskatchewan,35 to 49 years,Females,47,24.1
2015,Saskatchewan,50 to 64 years,Both sexes,47,25.1
2015,Saskatchewan,50 to 64 years,Males,47,26.5
2015,Saskatchewan,50 to 64 years,Females,47,23.7
2015,Saskatchewan,65 years and over,Both sexes,47,14.0
2015,Saskatchewan,65 years and over,Males,47,11.6
2015,Saskatchewan,65 years and over,Females,47,16.1
2015,Alberta,"Total, 12 years and over",Both sexes,48,18.4
2015,Alberta,"Total, 12 years and over",Males,48,21.2
2015,Alberta,"Total, 12 years and over",Females,48,15.6
2015,Alberta,12 to 17 years,Both sexes,48,3.0
2015,Alberta,12 to 17 years,Males,48,
2015,Alberta,12 to 17 years,Females,48,
2015,Alberta,18 to 34 years,Both sexes,48,20.5
2015,Alberta,18 to 34 years,Males,48,23.3
2015,Alberta,18 to 34 years,Females,48,17.6
2015,Alberta,35 to 49 years,Both sexes,48,21.7
2015,Alberta,35 to 49 years,Males,48,25.9
2015,Alberta,35 to 49 years,Females,48,17.2
2015,Alberta,50 to 64 years,Both sexes,48,21.2
2015,Alberta,50 to 64 years,Males,48,25.3
2015,Alberta,50 to 64 years,Females,48,17.0
2015,Alberta,65 years and over,Both sexes,48,11.3
2015,Alberta,65 years and over,Males,48,9.5
2015,Alberta,65 years and over,Females,48,12.9
2015,British Columbia,"Total, 12 years and over",Both sexes,59,13.8
2015,British Columbia,"Total, 12 years and over",Males,59,16.0
2015,British Columbia,"Total, 12 years and over",Females,59,11.6
2015,British Columbia,12 to 17 years,Both sexes,59,1.6
2015,British Columbia,12 to 17 years,Males,59,
2015,British Columbia,12 to 17 years,Females,59,
2015,British Columbia,18 to 34 years,Both sexes,59,19.4
2015,British Columbia,18 to 34 years,Males,59,22.9
2015,British Columbia,18 to 34 years,Females,59,15.8
2015,British Columbia,35 to 49 years,Both sexes,59,13.4
2015,British Columbia,35 to 49 years,Males,59,15.5
2015,British Columbia,35 to 49 years,Females,59,11.5
2015,British Columbia,50 to 64 years,Both sexes,59,17.1
2015,British Columbia,50 to 64 years,Males,59,20.0
2015,British Columbia,50 to 64 years,Females,59,14.2
2015,British Columbia,65 years and over,Both sexes,59,6.8
2015,British Columbia,65 years and over,Males,59,7.2
2015,British Columbia,65 years and over,Females,59,6.4
2016,Canada,"Total, 12 years and over",Males,,19.4
2016,Canada,"Total, 12 years and over",Females,,14.5
2016,Canada,12 to 17 years,Both sexes,,3.6
2016,Canada,12 to 17 years,Males,,3.9
2016,Canada,12 to 17 years,Females,,3.3
2016,Canada,18 to 34 years,Both sexes,,21.1
2016,Canada,18 to 34 years,Males,,24.6
2016,Canada,18 to 34 years,Females,,17.6
2016,Canada,35 to 49 years,Both sexes,,18.9
2016,Canada,35 to 49 years,Males,,21.4
2016,Canada,35 to 49 years,Females,,16.4
2016,Canada,50 to 64 years,Both sexes,,20.1
2016,Canada,50 to 64 years,Males,,22.4
2016,Canada,50 to 64 years,Females,,17.7
2016,Canada,65 years and over,Both sexes,,9.5
2016,Canada,65 years and over,Males,,11.0
2016,Canada,65 years and over,Females,,8.1
2016,Newfoundland and Labrador,"Total, 12 years and over",Both sexes,10,18.9
2016,Newfoundland and Labrador,"Total, 12 years and over",Males,10,21.2
2016,Newfoundland and Labrador,"Total, 12 years and over",Females,10,16.6
2016,Newfoundland and Labrador,12 to 17 years,Both sexes,10,
2016,Newfoundland and Labrador,12 to 17 years,Males,10,
2016,Newfoundland and Labrador,12 to 17 years,Females,10,
2016,Newfoundland and Labrador,18 to 34 years,Both sexes,10,24.2
2016,Newfoundland and Labrador,18 to 34 years,Males,10,23.9
2016,Newfoundland and Labrador,18 to 34 years,Females,10,24.5
2016,Newfoundland and Labrador,35 to 49 years,Both sexes,10,22.7
2016,Newfoundland and Labrador,35 to 49 years,Males,10,27.5
2016,Newfoundland and Labrador,35 to 49 years,Females,10,18.2
2016,Newfoundland and Labrador,50 to 64 years,Both sexes,10,21.6
2016,Newfoundland and Labrador,50 to 64 years,Males,10,23.8
2016,Newfoundland and Labrador,50 to 64 years,Females,10,19.4
2016,Newfoundland and Labrador,65 years and over,Both sexes,10,11.3
2016,Newfoundland and Labrador,65 years and over,Males,10,14.4
2016,Newfoundland and Labrador,65 years and over,Females,10,8.5
2016,Prince Edward Island,"Total, 12 years and over",Both sexes,11,15.3
2016,Prince Edward Island,"Total, 12 years and over",Males,11,18.1
2016,Prince Edward Island,"Total, 12 years and over",Females,11,12.7
2016,Prince Edward Island,12 to 17 years,Both sexes,11,
2016,Prince Edward Island,12 to 17 years,Males,11,
2016,Prince Edward Island,12 to 17 years,Females,11,
2016,Prince Edward Island,18 to 34 years,Both sexes,11,23.3
2016,Prince Edward Island,18 to 34 years,Males,11,28.0
2016,Prince Edward Island,18 to 34 years,Females,11,18.6
2016,Prince Edward Island,35 to 49 years,Both sexes,11,14.4
2016,Prince Edward Island,35 to 49 years,Males,11,
2016,Prince Edward Island,35 to 49 years,Females,11,16.3
2016,Prince Edward Island,50 to 64 years,Both sexes,11,18.8
2016,Prince Edward Island,50 to 64 years,Males,11,22.4
2016,Prince Edward Island,50 to 64 years,Females,11,15.3
2016,Prince Edward Island,65 years and over,Both sexes,11,6.2
2016,Prince Edward Island,65 years and over,Males,11,9.4
2016,Prince Edward Island,65 years and over,Females,11,
2016,Nova Scotia,"Total, 12 years and over",Both sexes,12,19.6
2016,Nova Scotia,"Total, 12 years and over",Males,12,21.2
2016,Nova Scotia,"Total, 12 years and over",Females,12,18.1
2016,Nova Scotia,12 to 17 years,Both sexes,12,6.1
2016,Nova Scotia,12 to 17 years,Males,12,
2016,Nova Scotia,12 to 17 years,Females,12,
2016,Nova Scotia,18 to 34 years,Both sexes,12,20.6
2016,Nova Scotia,18 to 34 years,Males,12,23.9
2016,Nova Scotia,18 to 34 years,Females,12,17.3
2016,Nova Scotia,35 to 49 years,Both sexes,12,22.5
2016,Nova Scotia,35 to 49 years,Males,12,20.8
2016,Nova Scotia,35 to 49 years,Females,12,24.0
2016,Nova Scotia,50 to 64 years,Both sexes,12,27.5
2016,Nova Scotia,50 to 64 years,Males,12,31.7
2016,Nova Scotia,50 to 64 years,Females,12,23.5
2016,Nova Scotia,65 years and over,Both sexes,12,10.1
2016,Nova Scotia,65 years and over,Males,12,9.4
2016,Nova Scotia,65 years and over,Females,12,10.7
2016,New Brunswick,"Total, 12 years and over",Both sexes,13,19.0
2016,New Brunswick,"Total, 12 years and over",Males,13,21.5
2016,New Brunswick,"Total, 12 years and over",Females,13,16.6
2016,New Brunswick,12 to 17 years,Both sexes,13,
2016,New Brunswick,12 to 17 years,Males,13,
2016,New Brunswick,12 to 17 years,Females,13,
2016,New Brunswick,18 to 34 years,Both sexes,13,30.5
2016,New Brunswick,18 to 34 years,Males,13,39.1
2016,New Brunswick,18 to 34 years,Females,13,21.7
2016,New Brunswick,35 to 49 years,Both sexes,13,23.4
2016,New Brunswick,35 to 49 years,Males,13,26.4
2016,New Brunswick,35 to 49 years,Females,13,20.6
2016,New Brunswick,50 to 64 years,Both sexes,13,16.4
2016,New Brunswick,50 to 64 years,Males,13,13.0
2016,New Brunswick,50 to 64 years,Females,13,19.7
2016,New Brunswick,65 years and over,Both sexes,13,10.4
2016,New Brunswick,65 years and over,Males,13,12.5
2016,New Brunswick,65 years and over,Females,13,8.6
2016,Quebec,"Total, 12 years and over",Both sexes,24,18.1
2016,Quebec,"Total, 12 years and over",Males,24,18.8
2016,Quebec,"Total, 12 years and over",Females,24,17.5
2016,Quebec,12 to 17 years,Both sexes,24,5.2
2016,Quebec,12 to 17 years,Males,24,4.8
2016,Quebec,12 to 17 years,Females,24,5.7
2016,Quebec,18 to 34 years,Both sexes,24,23.6
2016,Quebec,18 to 34 years,Males,24,23.0
2016,Quebec,18 to 34 years,Females,24,24.2
2016,Quebec,35 to 49 years,Both sexes,24,19.4
2016,Quebec,35 to 49 years,Males,24,20.8
2016,Quebec,35 to 49 years,Females,24,18.1
2016,Quebec,50 to 64 years,Both sexes,24,21.1
2016,Quebec,50 to 64 years,Males,24,21.8
2016,Quebec,50 to 64 years,Females,24,20.4
2016,Quebec,65 years and over,Both sexes,24,10.2
2016,Quebec,65 years and over,Males,24,11.3
2016,Quebec,65 years and over,Females,24,9.3
2016,Ontario,"Total, 12 years and over",Both sexes,35,16.0
2016,Ontario,"Total, 12 years and over",Males,35,19.2
2016,Ontario,"Total, 12 years and over",Females,35,13.0
2016,Ontario,12 to 17 years,Both sexes,35,2.1
2016,Ontario,12 to 17 years,Males,35,2.6
2016,Ontario,12 to 17 years,Females,35,1.5
2016,Ontario,18 to 34 years,Both sexes,35,19.1
2016,Ontario,18 to 34 years,Males,35,23.4
2016,Ontario,18 to 34 years,Females,35,14.9
2016,Ontario,35 to 49 years,Both sexes,35,18.9
2016,Ontario,35 to 49 years,Males,35,22.0
2016,Ontario,35 to 49 years,Females,35,16.0
2016,Ontario,50 to 64 years,Both sexes,35,20.1
2016,Ontario,50 to 64 years,Males,35,23.5
2016,Ontario,50 to 64 years,Females,35,16.7
2016,Ontario,65 years and over,Both sexes,35,8.3
2016,Ontario,65 years and over,Males,35,10.1
2016,Ontario,65 years and over,Females,35,6.7
2016,Manitoba,"Total, 12 years and over",Both sexes,46,18.1
2016,Manitoba,"Total, 12 years and over",Males,46,20.1
2016,Manitoba,"Total, 12 years and over",Females,46,16.0
2016,Manitoba,12 to 17 years,Both sexes,46,
2016,Manitoba,12 to 17 years,Males,46,
2016,Manitoba,12 to 17 years,Females,46,
2016,Manitoba,18 to 34 years,Both sexes,46,20.1
2016,Manitoba,18 to 34 years,Males,46,21.7
2016,Manitoba,18 to 34 years,Females,46,18.3
2016,Manitoba,35 to 49 years,Both sexes,46,23.8
2016,Manitoba,35 to 49 years,Males,46,26.3
2016,Manitoba,35 to 49 years,Females,46,21.5
2016,Manitoba,50 to 64 years,Both sexes,46,21.2
2016,Manitoba,50 to 64 years,Males,46,25.0
2016,Manitoba,50 to 64 years,Females,46,17.3
2016,Manitoba,65 years and over,Both sexes,46,10.1
2016,Manitoba,65 years and over,Males,46,9.5
2016,Manitoba,65 years and over,Females,46,10.5
2016,Saskatchewan,"Total, 12 years and over",Both sexes,47,18.1
2016,Saskatchewan,"Total, 12 years and over",Males,47,22.1
2016,Saskatchewan,"Total, 12 years and over",Females,47,14.1
2016,Saskatchewan,12 to 17 years,Both sexes,47,9.3
2016,Saskatchewan,12 to 17 years,Males,47,
2016,Saskatchewan,12 to 17 years,Females,47,
2016,Saskatchewan,18 to 34 years,Both sexes,47,19.9
2016,Saskatchewan,18 to 34 years,Males,47,22.2
2016,Saskatchewan,18 to 34 years,Females,47,17.4
2016,Saskatchewan,35 to 49 years,Both sexes,47,19.4
2016,Saskatchewan,35 to 49 years,Males,47,22.6
2016,Saskatchewan,35 to 49 years,Females,47,16.0
2016,Saskatchewan,50 to 64 years,Both sexes,47,21.3
2016,Saskatchewan,50 to 64 years,Males,47,31.7
2016,Saskatchewan,50 to 64 years,Females,47,10.5
2016,Saskatchewan,65 years and over,Both sexes,47,13.4
2016,Saskatchewan,65 years and over,Males,47,12.8
2016,Saskatchewan,65 years and over,Females,47,13.9
2016,Alberta,"Total, 12 years and over",Both sexes,48,18.3
2016,Alberta,"Total, 12 years and over",Males,48,20.8
2016,Alberta,"Total, 12 years and over",Females,48,15.7
2016,Alberta,12 to 17 years,Both sexes,48,5.4
2016,Alberta,12 to 17 years,Males,48,6.1
2016,Alberta,12 to 17 years,Females,48,
2016,Alberta,18 to 34 years,Both sexes,48,23.4
2016,Alberta,18 to 34 years,Males,48,28.6
2016,Alberta,18 to 34 years,Females,48,18.1
2016,Alberta,35 to 49 years,Both sexes,48,16.6
2016,Alberta,35 to 49 years,Males,48,20.2
2016,Alberta,35 to 49 years,Females,48,12.8
2016,Alberta,50 to 64 years,Both sexes,48,22.2
2016,Alberta,50 to 64 years,Males,48,20.8
2016,Alberta,50 to 64 years,Females,48,23.8
2016,Alberta,65 years and over,Both sexes,48,10.7
2016,Alberta,65 years and over,Males,48,12.1
2016,Alberta,65 years and over,Females,48,9.5
2016,British Columbia,"Total, 12 years and over",Both sexes,59,14.5
2016,British Columbia,"Total, 12 years and over",Males,59,18.2
2016,British Columbia,"Total, 12 years and over",Females,59,10.9
2016,British Columbia,12 to 17 years,Both sexes,59,2.2
2016,British Columbia,12 to 17 years,Males,59,
2016,British Columbia,12 to 17 years,Females,59,
2016,British Columbia,18 to 34 years,Both sexes,59,19.5
2016,British Columbia,18 to 34 years,Males,59,25.9
2016,British Columbia,18 to 34 years,Females,59,13.1
2016,British Columbia,35 to 49 years,Both sexes,59,16.7
2016,British Columbia,35 to 49 years,Males,59,19.3
2016,British Columbia,35 to 49 years,Females,59,14.1
2016,British Columbia,50 to 64 years,Both sexes,59,14.9
2016,British Columbia,50 to 64 years,Males,59,18.7
2016,British Columbia,50 to 64 years,Females,59,11.2
2016,British Columbia,65 years and over,Both sexes,59,9.3
2016,British Columbia,65 years and over,Males,59,12.1
2016,British Columbia,65 years and over,Females,59,6.8
2017,Canada,"Total, 12 years and over",Males,,19.1
2017,Canada,"Total, 12 years and over",Females,,13.4
2017,Canada,12 to 17 years,Both sexes,,3.5
2017,Canada,12 to 17 years,Males,,2.7
2017,Canada,12 to 17 years,Females,,4.3
2017,Canada,18 to 34 years,Both sexes,,19.2
2017,Canada,18 to 34 years,Males,,22.9
2017,Canada,18 to 34 years,Females,,15.5
2017,Canada,35 to 49 years,Both sexes,,18.6
2017,Canada,35 to 49 years,Males,,23.2
2017,Canada,35 to 49 years,Females,,14.0
2017,Canada,50 to 64 years,Both sexes,,19.5
2017,Canada,50 to 64 years,Males,,22.5
2017,Canada,50 to 64 years,Females,,16.6
2017,Canada,65 years and over,Both sexes,,9.8
2017,Canada,65 years and over,Males,,10.5
2017,Canada,65 years and over,Females,,9.2
2017,Newfoundland and Labrador,"Total, 12 years and over",Both sexes,10,23.4
2017,Newfoundland and Labrador,"Total, 12 years and over",Males,10,27.7
2017,Newfoundland and Labrador,"Total, 12 years and over",Females,10,19.2
2017,Newfoundland and Labrador,12 to 17 years,Both sexes,10,
2017,Newfoundland and Labrador,12 to 17 years,Males,10,
2017,Newfoundland and Labrador,12 to 17 years,Females,10,
2017,Newfoundland and Labrador,18 to 34 years,Both sexes,10,24.6
2017,Newfoundland and Labrador,18 to 34 years,Males,10,27.9
2017,Newfoundland and Labrador,18 to 34 years,Females,10,21.2
2017,Newfoundland and Labrador,35 to 49 years,Both sexes,10,32.4
2017,Newfoundland and Labrador,35 to 49 years,Males,10,44.9
2017,Newfoundland and Labrador,35 to 49 years,Females,10,20.8
2017,Newfoundland and Labrador,50 to 64 years,Both sexes,10,30.9
2017,Newfoundland and Labrador,50 to 64 years,Males,10,32.5
2017,Newfoundland and Labrador,50 to 64 years,Females,10,29.3
2017,Newfoundland and Labrador,65 years and over,Both sexes,10,9.7
2017,Newfoundland and Labrador,65 years and over,Males,10,11.5
2017,Newfoundland and Labrador,65 years and over,Females,10,8.1
2017,Prince Edward Island,"Total, 12 years and over",Both sexes,11,16.7
2017,Prince Edward Island,"Total, 12 years and over",Males,11,20.0
2017,Prince Edward Island,"Total, 12 years and over",Females,11,13.6
2017,Prince Edward Island,12 to 17 years,Both sexes,11,
2017,Prince Edward Island,12 to 17 years,Males,11,
2017,Prince Edward Island,12 to 17 years,Females,11,
2017,Prince Edward Island,18 to 34 years,Both sexes,11,16.7
2017,Prince Edward Island,18 to 34 years,Males,11,19.2
2017,Prince Edward Island,18 to 34 years,Females,11,14.2
2017,Prince Edward Island,35 to 49 years,Both sexes,11,18.9
2017,Prince Edward Island,35 to 49 years,Males,11,26.4
2017,Prince Edward Island,35 to 49 years,Females,11,12.0
2017,Prince Edward Island,50 to 64 years,Both sexes,11,23.3
2017,Prince Edward Island,50 to 64 years,Males,11,25.8
2017,Prince Edward Island,50 to 64 years,Females,11,21.0
2017,Prince Edward Island,65 years and over,Both sexes,11,11.5
2017,Prince Edward Island,65 years and over,Males,11,13.5
2017,Prince Edward Island,65 years and over,Females,11,9.7
2017,Nova Scotia,"Total, 12 years and over",Both sexes,12,17.7
2017,Nova Scotia,"Total, 12 years and over",Males,12,20.7
2017,Nova Scotia,"Total, 12 years and over",Females,12,15.0
2017,Nova Scotia,12 to 17 years,Both sexes,12,
2017,Nova Scotia,12 to 17 years,Males,12,
2017,Nova Scotia,12 to 17 years,Females,12,
2017,Nova Scotia,18 to 34 years,Both sexes,12,24.2
2017,Nova Scotia,18 to 34 years,Males,12,27.3
2017,Nova Scotia,18 to 34 years,Females,12,21.0
2017,Nova Scotia,35 to 49 years,Both sexes,12,16.8
2017,Nova Scotia,35 to 49 years,Males,12,21.1
2017,Nova Scotia,35 to 49 years,Females,12,12.8
2017,Nova Scotia,50 to 64 years,Both sexes,12,23.5
2017,Nova Scotia,50 to 64 years,Males,12,26.2
2017,Nova Scotia,50 to 64 years,Females,12,21.1
2017,Nova Scotia,65 years and over,Both sexes,12,8.9
2017,Nova Scotia,65 years and over,Males,12,11.5
2017,Nova Scotia,65 years and over,Females,12,6.6
2017,New Brunswick,"Total, 12 years and over",Both sexes,13,14.2
2017,New Brunswick,"Total, 12 years and over",Males,13,14.7
2017,New Brunswick,"Total, 12 years and over",Females,13,13.6
2017,New Brunswick,12 to 17 years,Both sexes,13,
2017,New Brunswick,12 to 17 years,Males,13,
2017,New Brunswick,12 to 17 years,Females,13,
2017,New Brunswick,18 to 34 years,Both sexes,13,16.3
2017,New Brunswick,18 to 34 years,Males,13,20.9
2017,New Brunswick,18 to 34 years,Females,13,11.6
2017,New Brunswick,35 to 49 years,Both sexes,13,22.6
2017,New Brunswick,35 to 49 years,Males,13,21.6
2017,New Brunswick,35 to 49 years,Females,13,23.6
2017,New Brunswick,50 to 64 years,Both sexes,13,12.9
2017,New Brunswick,50 to 64 years,Males,13,11.9
2017,New Brunswick,50 to 64 years,Females,13,13.7
2017,New Brunswick,65 years and over,Both sexes,13,9.3
2017,New Brunswick,65 years and over,Males,13,8.9
2017,New Brunswick,65 years and over,Females,13,9.7
2017,Quebec,"Total, 12 years and over",Both sexes,24,18.3
2017,Quebec,"Total, 12 years and over",Males,24,20.3
2017,Quebec,"Total, 12 years and over",Females,24,16.4
2017,Quebec,12 to 17 years,Both sexes,24,5.9
2017,Quebec,12 to 17 years,Males,24,5.6
2017,Quebec,12 to 17 years,Females,24,6.2
2017,Quebec,18 to 34 years,Both sexes,24,22.6
2017,Quebec,18 to 34 years,Males,24,26.0
2017,Quebec,18 to 34 years,Females,24,19.1
2017,Quebec,35 to 49 years,Both sexes,24,20.9
2017,Quebec,35 to 49 years,Males,24,24.5
2017,Quebec,35 to 49 years,Females,24,17.3
2017,Quebec,50 to 64 years,Both sexes,24,20.8
2017,Quebec,50 to 64 years,Males,24,21.2
2017,Quebec,50 to 64 years,Females,24,20.4
2017,Quebec,65 years and over,Both sexes,24,11.1
2017,Quebec,65 years and over,Males,24,11.5
