Year,Region,Goods and services (products),Value
2017,Europe,Environmental products,0.018
2017,Europe,Clean technology products,1.298
2017,North America,Environmental and clean technology products,75.979
2017,North America,Environmental products,35.163
2017,North America,Clean technology products,40.816
2017,Africa,Environmental and clean technology products,64.181
2017,Africa,Environmental products,10.007
2017,Africa,Clean technology products,54.175
2017,South America,Environmental and clean technology products,42.546
2017,South America,Environmental products,1.989
2017,South America,Clean technology products,40.557
2017,Central America,Environmental and clean technology products,3.469
2017,Central America,Environmental products,0.024
2017,Central America,Clean technology products,3.445
2017,Antilles,Environmental and clean technology products,11.562
2017,Antilles,Environmental products,0.699
2017,Antilles,Clean technology products,10.863
2017,Middle East,Environmental and clean technology products,2.927
2017,Middle East,Environmental products,0.114
2017,Middle East,Clean technology products,2.814
2017,Oceania,Environmental and clean technology products,0.231
2017,Oceania,Environmental products,0.0
2017,Oceania,Clean technology products,0.231
2017,Asia,Environmental and clean technology products,824.322
2017,Asia,Environmental products,669.999
2017,Asia,Clean technology products,154.326
2018,Europe,Environmental and clean technology products,1.352
2018,Europe,Environmental products,0.289
2018,Europe,Clean technology products,1.063
2018,North America,Environmental and clean technology products,90.869
2018,North America,Environmental products,32.112
2018,North America,Clean technology products,58.758
2018,Africa,Environmental and clean technology products,46.096
2018,Africa,Environmental products,12.791
2018,Africa,Clean technology products,33.306
2018,South America,Environmental and clean technology products,79.344
2018,South America,Environmental products,29.302
2018,South America,Clean technology products,50.043
2018,Central America,Environmental and clean technology products,9.303
2018,Central America,Environmental products,6.642
2018,Central America,Clean technology products,2.662
2018,Antilles,Environmental and clean technology products,12.359
2018,Antilles,Environmental products,0.933
2018,Antilles,Clean technology products,11.426
2018,Middle East,Environmental and clean technology products,4.439
2018,Middle East,Environmental products,0.167
2018,Middle East,Clean technology products,4.273
2018,Oceania,Environmental and clean technology products,0.766
2018,Oceania,Environmental products,0.0
2018,Oceania,Clean technology products,0.766
2018,Asia,Environmental and clean technology products,732.722
2018,Asia,Environmental products,565.344
2018,Asia,Clean technology products,167.377
2019,Europe,Environmental and clean technology products,1.834
2019,Europe,Environmental products,1.027
2019,Europe,Clean technology products,0.807
2019,North America,Environmental and clean technology products,80.283
2019,North America,Environmental products,15.752
2019,North America,Clean technology products,64.531
2019,Africa,Environmental and clean technology products,162.128
2019,Africa,Environmental products,49.979
2019,Africa,Clean technology products,112.151
2019,South America,Environmental and clean technology products,82.364
2019,South America,Environmental products,24.256
2019,South America,Clean technology products,58.108
2019,Central America,Environmental and clean technology products,3.312
2019,Central America,Environmental products,0.135
2019,Central America,Clean technology products,3.178
2019,Antilles,Environmental and clean technology products,10.82
2019,Antilles,Environmental products,0.245
2019,Antilles,Clean technology products,10.573
2019,Middle East,Environmental and clean technology products,23.491
2019,Middle East,Environmental products,0.472
2019,Middle East,Clean technology products,23.019
2019,Oceania,Environmental and clean technology products,0.516
2019,Oceania,Environmental products,0.0
2019,Oceania,Clean technology products,0.516
2019,Asia,Environmental and clean technology products,757.074
2019,Asia,Environmental products,494.843
2019,Asia,Clean technology products,262.231
2020,Europe,Environmental and clean technology products,5.535
2020,Europe,Environmental products,0.61
2020,Europe,Clean technology products,4.926
2020,North America,Environmental and clean technology products,73.004
2020,North America,Environmental products,24.946
2020,North America,Clean technology products,48.057
2020,Africa,Environmental and clean technology products,175.968
2020,Africa,Environmental products,53.152
2020,Africa,Clean technology products,122.815
2020,South America,Environmental and clean technology products,137.326
2020,South America,Environmental products,54.71
2020,South America,Clean technology products,82.616
2020,Central America,Environmental and clean technology products,6.893
2020,Central America,Environmental products,2.627
2020,Central America,Clean technology products,4.267
2020,Antilles,Environmental and clean technology products,44.182
2020,Antilles,Environmental products,0.285
2020,Antilles,Clean technology products,43.898
2020,Middle East,Environmental and clean technology products,14.285
2020,Middle East,Environmental products,0.25
2020,Middle East,Clean technology products,14.034
2020,Oceania,Environmental and clean technology products,1.035
2020,Oceania,Environmental products,0.027
2020,Oceania,Clean technology products,1.008
2020,Asia,Environmental and clean technology products,592.016
2020,Asia,Environmental products,364.218
2020,Asia,Clean technology products,227.798
2021,Europe,Environmental and clean technology products,6.423
2021,Europe,Environmental products,0.1
2021,Europe,Clean technology products,6.322
2021,North America,Environmental and clean technology products,93.083
2021,North America,Environmental products,32.344
2021,North America,Clean technology products,60.739
2021,Africa,Environmental and clean technology products,165.529
2021,Africa,Environmental products,1.092
2021,Africa,Clean technology products,164.438
2021,South America,Environmental and clean technology products,100.352
2021,South America,Environmental products,19.714
2021,South America,Clean technology products,80.638
2021,Central America,Environmental and clean technology products,3.984
2021,Central America,Environmental products,0.516
2021,Central America,Clean technology products,3.467
2021,Antilles,Environmental and clean technology products,84.198
2021,Antilles,Environmental products,0.888
2021,Antilles,Clean technology products,83.31
2021,Middle East,Environmental and clean technology products,9.824
2021,Middle East,Environmental products,0.104
2021,Middle East,Clean technology products,9.721
2021,Oceania,Environmental and clean technology products,0.485
2021,Oceania,Environmental products,0.0
2021,Oceania,Clean technology products,0.485
2021,Asia,Environmental and clean technology products,675.34
2021,Asia,Environmental products,486.023
2021,Asia,Clean technology products,189.316
2022,Europe,Environmental and clean technology products,0.9
2022,Europe,Environmental products,0.0
2022,Europe,Clean technology products,0.899
2022,North America,Environmental and clean technology products,116.111
2022,North America,Environmental products,37.412
2022,North America,Clean technology products,78.699
2022,Africa,Environmental and clean technology products,110.67
2022,Africa,Environmental products,0.957
2022,Africa,Clean technology products,109.711
2022,South America,Environmental and clean technology products,100.013
2022,South America,Environmental products,18.647
2022,South America,Clean technology products,81.364
2022,Central America,Environmental and clean technology products,4.67
2022,Central America,Environmental products,1.075
2022,Central America,Clean technology products,3.595
2022,Antilles,Environmental and clean technology products,17.043
2022,Antilles,Environmental products,0.013
2022,Antilles,Clean technology products,17.031
2022,Middle East,Environmental and clean technology products,21.844
2022,Middle East,Environmental products,0.012
2022,Middle East,Clean technology products,21.832
2022,Oceania,Environmental and clean technology products,0.526
2022,Oceania,Environmental products,0.0
2022,Oceania,Clean technology products,0.526
2022,Asia,Environmental and clean technology products,949.983
2022,Asia,Environmental products,761.731
2022,Asia,Clean technology products,188.252
2023,Europe,Environmental and clean technology products,1.223
2023,Europe,Environmental products,0.0
2023,Europe,Clean technology products,1.223
2023,North America,Environmental and clean technology products,170.551
2023,North America,Environmental products,72.789
2023,North America,Clean technology products,97.763
2023,Africa,Environmental and clean technology products,175.736
2023,Africa,Environmental products,31.726
2023,Africa,Clean technology products,144.011
2023,South America,Environmental and clean technology products,194.855
2023,South America,Environmental products,68.258
2023,South America,Clean technology products,126.596
2023,Central America,Environmental and clean technology products,5.62
2023,Central America,Environmental products,1.051
2023,Central America,Clean technology products,4.568
2023,Antilles,Environmental and clean technology products,30.171
2023,Antilles,Environmental products,0.412
2023,Antilles,Clean technology products,29.759
2023,Middle East,Environmental and clean technology products,17.022
2023,Middle East,Environmental products,0.34
2023,Middle East,Clean technology products,16.682
2023,Oceania,Environmental and clean technology products,0.649
2023,Oceania,Environmental products,0.0
2023,Oceania,Clean technology products,0.649
2023,Asia,Environmental and clean technology products,1058.835
2023,Asia,Environmental products,819.343
2023,Asia,Clean technology products,239.495
