Year,data.Geography,GeoCode,data.Economic family type,Value
2020,data.Canada,,data.Couples with other relatives,139000.0
2015,data.Canada,,data.Lone-parent families,49100.0
2016,data.Canada,,data.Lone-parent families,48200.0
2017,data.Canada,,data.Lone-parent families,52700.0
2018,data.Canada,,data.Lone-parent families,53800.0
2019,data.Canada,,data.Lone-parent families,58900.0
2020,data.Canada,,data.Lone-parent families,61300.0
2015,data.Canada,,data.Male lone-parent families,62400.0
2016,data.Canada,,data.Male lone-parent families,58400.0
2017,data.Canada,,data.Male lone-parent families,65800.0
2018,data.Canada,,data.Male lone-parent families,61700.0
2019,data.Canada,,data.Male lone-parent families,68500.0
2020,data.Canada,,data.Male lone-parent families,67800.0
2015,data.Canada,,data.Female lone-parent families,46100.0
2016,data.Canada,,data.Female lone-parent families,44200.0
2017,data.Canada,,data.Female lone-parent families,50100.0
2018,data.Canada,,data.Female lone-parent families,52100.0
2019,data.Canada,,data.Female lone-parent families,55600.0
2020,data.Canada,,data.Female lone-parent families,59700.0
2015,data.Canada,,data.Other non-elderly families,73200.0
2016,data.Canada,,data.Other non-elderly families,75000.0
2017,data.Canada,,data.Other non-elderly families,75300.0
2018,data.Canada,,data.Other non-elderly families,77600.0
2019,data.Canada,,data.Other non-elderly families,78900.0
2020,data.Canada,,data.Other non-elderly families,86500.0
2015,data.Canada,,data.Persons not in an economic family,30600.0
2016,data.Canada,,data.Persons not in an economic family,30900.0
2017,data.Canada,,data.Persons not in an economic family,31600.0
2018,data.Canada,,data.Persons not in an economic family,31500.0
2019,data.Canada,,data.Persons not in an economic family,32200.0
2020,data.Canada,,data.Persons not in an economic family,34500.0
2015,data.Canada,,data.Elderly persons not in an economic family,28500.0
2016,data.Canada,,data.Elderly persons not in an economic family,28100.0
2017,data.Canada,,data.Elderly persons not in an economic family,28900.0
2018,data.Canada,,data.Elderly persons not in an economic family,28800.0
2019,data.Canada,,data.Elderly persons not in an economic family,29500.0
2020,data.Canada,,data.Elderly persons not in an economic family,31400.0
2015,data.Canada,,data.Elderly males not in an economic family,29600.0
2016,data.Canada,,data.Elderly males not in an economic family,29300.0
2017,data.Canada,,data.Elderly males not in an economic family,30400.0
2018,data.Canada,,data.Elderly males not in an economic family,30700.0
2019,data.Canada,,data.Elderly males not in an economic family,31400.0
2020,data.Canada,,data.Elderly males not in an economic family,33700.0
2015,data.Canada,,data.Elderly females not in an economic family,27900.0
2016,data.Canada,,data.Elderly females not in an economic family,27600.0
2017,data.Canada,,data.Elderly females not in an economic family,28100.0
2018,data.Canada,,data.Elderly females not in an economic family,28500.0
2019,data.Canada,,data.Elderly females not in an economic family,28700.0
2020,data.Canada,,data.Elderly females not in an economic family,30500.0
2015,data.Canada,,data.Non-elderly persons not in an economic family,31900.0
2016,data.Canada,,data.Non-elderly persons not in an economic family,32300.0
2017,data.Canada,,data.Non-elderly persons not in an economic family,33000.0
2018,data.Canada,,data.Non-elderly persons not in an economic family,33000.0
2019,data.Canada,,data.Non-elderly persons not in an economic family,33800.0
2020,data.Canada,,data.Non-elderly persons not in an economic family,35900.0
2015,data.Canada,,data.Non-elderly males not in an economic family,34500.0
2016,data.Canada,,data.Non-elderly males not in an economic family,34400.0
2017,data.Canada,,data.Non-elderly males not in an economic family,34800.0
2018,data.Canada,,data.Non-elderly males not in an economic family,34000.0
2019,data.Canada,,data.Non-elderly males not in an economic family,36000.0
2020,data.Canada,,data.Non-elderly males not in an economic family,37700.0
2015,data.Canada,,data.Non-elderly females not in an economic family,28300.0
2016,data.Canada,,data.Non-elderly females not in an economic family,29900.0
2017,data.Canada,,data.Non-elderly females not in an economic family,31300.0
2018,data.Canada,,data.Non-elderly females not in an economic family,31500.0
2019,data.Canada,,data.Non-elderly females not in an economic family,31800.0
2020,data.Canada,,data.Non-elderly females not in an economic family,33500.0
2015,data.Atlantic provinces,,data.Economic families and persons not in an economic family,54200.0
2016,data.Atlantic provinces,,data.Economic families and persons not in an economic family,54400.0
2017,data.Atlantic provinces,,data.Economic families and persons not in an economic family,53900.0
2018,data.Atlantic provinces,,data.Economic families and persons not in an economic family,55000.0
2019,data.Atlantic provinces,,data.Economic families and persons not in an economic family,54800.0
2020,data.Atlantic provinces,,data.Economic families and persons not in an economic family,57800.0
2015,data.Atlantic provinces,,data.Economic families,74600.0
2016,data.Atlantic provinces,,data.Economic families,73200.0
2017,data.Atlantic provinces,,data.Economic families,73500.0
2018,data.Atlantic provinces,,data.Economic families,73700.0
2019,data.Atlantic provinces,,data.Economic families,74300.0
2020,data.Atlantic provinces,,data.Economic families,80800.0
2015,data.Atlantic provinces,,data.Elderly families,53200.0
2016,data.Atlantic provinces,,data.Elderly families,55700.0
2017,data.Atlantic provinces,,data.Elderly families,55900.0
2018,data.Atlantic provinces,,data.Elderly families,57800.0
2019,data.Atlantic provinces,,data.Elderly families,56900.0
2020,data.Atlantic provinces,,data.Elderly families,61800.0
2015,data.Atlantic provinces,,data.Elderly couples,52500.0
2016,data.Atlantic provinces,,data.Elderly couples,54500.0
2017,data.Atlantic provinces,,data.Elderly couples,55700.0
2018,data.Atlantic provinces,,data.Elderly couples,57000.0
2019,data.Atlantic provinces,,data.Elderly couples,56300.0
2020,data.Atlantic provinces,,data.Elderly couples,59300.0
2015,data.Atlantic provinces,,data.Other elderly families,56600.0
2016,data.Atlantic provinces,,data.Other elderly families,66100.0
2017,data.Atlantic provinces,,data.Other elderly families,56700.0
2018,data.Atlantic provinces,,data.Other elderly families,63200.0
2019,data.Atlantic provinces,,data.Other elderly families,63300.0
2020,data.Atlantic provinces,,data.Other elderly families,76100.0
2015,data.Atlantic provinces,,data.Non-elderly families,82600.0
2016,data.Atlantic provinces,,data.Non-elderly families,80800.0
2017,data.Atlantic provinces,,data.Non-elderly families,80500.0
2018,data.Atlantic provinces,,data.Non-elderly families,80800.0
2019,data.Atlantic provinces,,data.Non-elderly families,80900.0
2020,data.Atlantic provinces,,data.Non-elderly families,87800.0
2015,data.Atlantic provinces,,data.Couples,73400.0
2016,data.Atlantic provinces,,data.Couples,75900.0
2017,data.Atlantic provinces,,data.Couples,73900.0
2018,data.Atlantic provinces,,data.Couples,73100.0
2019,data.Atlantic provinces,,data.Couples,75300.0
2020,data.Atlantic provinces,,data.Couples,77700.0
2015,data.Atlantic provinces,,data.Couples with children,97600.0
2016,data.Atlantic provinces,,data.Couples with children,96400.0
2017,data.Atlantic provinces,,data.Couples with children,97400.0
2018,data.Atlantic provinces,,data.Couples with children,97400.0
2019,data.Atlantic provinces,,data.Couples with children,92600.0
2020,data.Atlantic provinces,,data.Couples with children,100300.0
2015,data.Atlantic provinces,,data.Couples with other relatives,111100.0
2016,data.Atlantic provinces,,data.Couples with other relatives,106600.0
2017,data.Atlantic provinces,,data.Couples with other relatives,110600.0
2018,data.Atlantic provinces,,data.Couples with other relatives,110400.0
2019,data.Atlantic provinces,,data.Couples with other relatives,118400.0
2020,data.Atlantic provinces,,data.Couples with other relatives,127000.0
2015,data.Atlantic provinces,,data.Lone-parent families,41600.0
2016,data.Atlantic provinces,,data.Lone-parent families,46500.0
2017,data.Atlantic provinces,,data.Lone-parent families,47800.0
2018,data.Atlantic provinces,,data.Lone-parent families,49200.0
2019,data.Atlantic provinces,,data.Lone-parent families,54100.0
2020,data.Atlantic provinces,,data.Lone-parent families,53100.0
2015,data.Atlantic provinces,,data.Male lone-parent families,50600.0
2016,data.Atlantic provinces,,data.Male lone-parent families,49300.0
2017,data.Atlantic provinces,,data.Male lone-parent families,63100.0
2018,data.Atlantic provinces,,data.Male lone-parent families,54900.0
2019,data.Atlantic provinces,,data.Male lone-parent families,57400.0
2020,data.Atlantic provinces,,data.Male lone-parent families,60800.0
2015,data.Atlantic provinces,,data.Female lone-parent families,40300.0
2016,data.Atlantic provinces,,data.Female lone-parent families,45400.0
2017,data.Atlantic provinces,,data.Female lone-parent families,45300.0
2018,data.Atlantic provinces,,data.Female lone-parent families,47300.0
2019,data.Atlantic provinces,,data.Female lone-parent families,51100.0
2020,data.Atlantic provinces,,data.Female lone-parent families,50100.0
2015,data.Atlantic provinces,,data.Other non-elderly families,61400.0
2016,data.Atlantic provinces,,data.Other non-elderly families,68700.0
2017,data.Atlantic provinces,,data.Other non-elderly families,64900.0
2018,data.Atlantic provinces,,data.Other non-elderly families,64500.0
2019,data.Atlantic provinces,,data.Other non-elderly families,68500.0
2020,data.Atlantic provinces,,data.Other non-elderly families,73600.0
2015,data.Atlantic provinces,,data.Persons not in an economic family,26100.0
2016,data.Atlantic provinces,,data.Persons not in an economic family,27400.0
2017,data.Atlantic provinces,,data.Persons not in an economic family,28000.0
2018,data.Atlantic provinces,,data.Persons not in an economic family,27700.0
2019,data.Atlantic provinces,,data.Persons not in an economic family,28900.0
2020,data.Atlantic provinces,,data.Persons not in an economic family,31000.0
2015,data.Atlantic provinces,,data.Elderly persons not in an economic family,25400.0
2016,data.Atlantic provinces,,data.Elderly persons not in an economic family,26200.0
2017,data.Atlantic provinces,,data.Elderly persons not in an economic family,27100.0
2018,data.Atlantic provinces,,data.Elderly persons not in an economic family,25600.0
2019,data.Atlantic provinces,,data.Elderly persons not in an economic family,26800.0
2020,data.Atlantic provinces,,data.Elderly persons not in an economic family,28200.0
2015,data.Atlantic provinces,,data.Elderly males not in an economic family,28100.0
2016,data.Atlantic provinces,,data.Elderly males not in an economic family,27200.0
2017,data.Atlantic provinces,,data.Elderly males not in an economic family,28200.0
2018,data.Atlantic provinces,,data.Elderly males not in an economic family,26600.0
2019,data.Atlantic provinces,,data.Elderly males not in an economic family,27800.0
2020,data.Atlantic provinces,,data.Elderly males not in an economic family,30900.0
2015,data.Atlantic provinces,,data.Elderly females not in an economic family,24400.0
2016,data.Atlantic provinces,,data.Elderly females not in an economic family,25900.0
2017,data.Atlantic provinces,,data.Elderly females not in an economic family,26400.0
2018,data.Atlantic provinces,,data.Elderly females not in an economic family,25200.0
2019,data.Atlantic provinces,,data.Elderly females not in an economic family,25900.0
2020,data.Atlantic provinces,,data.Elderly females not in an economic family,27300.0
2015,data.Atlantic provinces,,data.Non-elderly persons not in an economic family,26800.0
2016,data.Atlantic provinces,,data.Non-elderly persons not in an economic family,28500.0
2017,data.Atlantic provinces,,data.Non-elderly persons not in an economic family,28900.0
2018,data.Atlantic provinces,,data.Non-elderly persons not in an economic family,29400.0
2019,data.Atlantic provinces,,data.Non-elderly persons not in an economic family,30400.0
2020,data.Atlantic provinces,,data.Non-elderly persons not in an economic family,32500.0
2015,data.Atlantic provinces,,data.Non-elderly males not in an economic family,28700.0
2016,data.Atlantic provinces,,data.Non-elderly males not in an economic family,29000.0
2017,data.Atlantic provinces,,data.Non-elderly males not in an economic family,31200.0
2018,data.Atlantic provinces,,data.Non-elderly males not in an economic family,31300.0
2019,data.Atlantic provinces,,data.Non-elderly males not in an economic family,31300.0
2020,data.Atlantic provinces,,data.Non-elderly males not in an economic family,33700.0
2015,data.Atlantic provinces,,data.Non-elderly females not in an economic family,25600.0
2016,data.Atlantic provinces,,data.Non-elderly females not in an economic family,28200.0
2017,data.Atlantic provinces,,data.Non-elderly females not in an economic family,25600.0
2018,data.Atlantic provinces,,data.Non-elderly females not in an economic family,28100.0
2019,data.Atlantic provinces,,data.Non-elderly females not in an economic family,28600.0
2020,data.Atlantic provinces,,data.Non-elderly females not in an economic family,31100.0
2015,data.Newfoundland and Labrador,10,data.Economic families and persons not in an economic family,58300.0
2016,data.Newfoundland and Labrador,10,data.Economic families and persons not in an economic family,60000.0
2017,data.Newfoundland and Labrador,10,data.Economic families and persons not in an economic family,56900.0
2018,data.Newfoundland and Labrador,10,data.Economic families and persons not in an economic family,59000.0
2019,data.Newfoundland and Labrador,10,data.Economic families and persons not in an economic family,55900.0
2020,data.Newfoundland and Labrador,10,data.Economic families and persons not in an economic family,59300.0
2015,data.Newfoundland and Labrador,,data.Economic families,82400.0
2016,data.Newfoundland and Labrador,,data.Economic families,77100.0
2017,data.Newfoundland and Labrador,,data.Economic families,75300.0
2018,data.Newfoundland and Labrador,,data.Economic families,74200.0
2019,data.Newfoundland and Labrador,,data.Economic families,74100.0
2020,data.Newfoundland and Labrador,,data.Economic families,82700.0
2015,data.Newfoundland and Labrador,,data.Elderly families,45400.0
2016,data.Newfoundland and Labrador,,data.Elderly families,48900.0
2017,data.Newfoundland and Labrador,,data.Elderly families,51600.0
2018,data.Newfoundland and Labrador,,data.Elderly families,53000.0
2019,data.Newfoundland and Labrador,,data.Elderly families,48400.0
2020,data.Newfoundland and Labrador,,data.Elderly families,55900.0
2015,data.Newfoundland and Labrador,,data.Elderly couples,43400.0
2016,data.Newfoundland and Labrador,,data.Elderly couples,44000.0
2017,data.Newfoundland and Labrador,,data.Elderly couples,50700.0
2018,data.Newfoundland and Labrador,,data.Elderly couples,50700.0
2019,data.Newfoundland and Labrador,,data.Elderly couples,46300.0
2020,data.Newfoundland and Labrador,,data.Elderly couples,53100.0
2015,data.Newfoundland and Labrador,,data.Other elderly families,59100.0
2016,data.Newfoundland and Labrador,,data.Other elderly families,
2017,data.Newfoundland and Labrador,,data.Other elderly families,55900.0
2018,data.Newfoundland and Labrador,,data.Other elderly families,62400.0
2019,data.Newfoundland and Labrador,,data.Other elderly families,70100.0
2020,data.Newfoundland and Labrador,,data.Other elderly families,79800.0
2015,data.Newfoundland and Labrador,,data.Non-elderly families,93000.0
2016,data.Newfoundland and Labrador,,data.Non-elderly families,86400.0
2017,data.Newfoundland and Labrador,,data.Non-elderly families,84500.0
2018,data.Newfoundland and Labrador,,data.Non-elderly families,87100.0
2019,data.Newfoundland and Labrador,,data.Non-elderly families,83600.0
2020,data.Newfoundland and Labrador,,data.Non-elderly families,92000.0
2015,data.Newfoundland and Labrador,,data.Couples,76700.0
2016,data.Newfoundland and Labrador,,data.Couples,82300.0
2017,data.Newfoundland and Labrador,,data.Couples,75300.0
2018,data.Newfoundland and Labrador,,data.Couples,74200.0
2019,data.Newfoundland and Labrador,,data.Couples,76500.0
2020,data.Newfoundland and Labrador,,data.Couples,79000.0
2015,data.Newfoundland and Labrador,,data.Couples with children,104900.0
2016,data.Newfoundland and Labrador,,data.Couples with children,101500.0
2017,data.Newfoundland and Labrador,,data.Couples with children,109200.0
2018,data.Newfoundland and Labrador,,data.Couples with children,105600.0
2019,data.Newfoundland and Labrador,,data.Couples with children,96100.0
2020,data.Newfoundland and Labrador,,data.Couples with children,105500.0
2015,data.Newfoundland and Labrador,,data.Couples with other relatives,136600.0
2016,data.Newfoundland and Labrador,,data.Couples with other relatives,113600.0
2017,data.Newfoundland and Labrador,,data.Couples with other relatives,123800.0
2018,data.Newfoundland and Labrador,,data.Couples with other relatives,113300.0
2019,data.Newfoundland and Labrador,,data.Couples with other relatives,119000.0
2020,data.Newfoundland and Labrador,,data.Couples with other relatives,131700.0
2015,data.Newfoundland and Labrador,,data.Lone-parent families,36300.0
2016,data.Newfoundland and Labrador,,data.Lone-parent families,50700.0
2017,data.Newfoundland and Labrador,,data.Lone-parent families,42200.0
2018,data.Newfoundland and Labrador,,data.Lone-parent families,49700.0
2019,data.Newfoundland and Labrador,,data.Lone-parent families,46700.0
2020,data.Newfoundland and Labrador,,data.Lone-parent families,47600.0
2015,data.Newfoundland and Labrador,,data.Male lone-parent families,
2016,data.Newfoundland and Labrador,,data.Male lone-parent families,
2017,data.Newfoundland and Labrador,,data.Male lone-parent families,
2018,data.Newfoundland and Labrador,,data.Male lone-parent families,
2019,data.Newfoundland and Labrador,,data.Male lone-parent families,
2020,data.Newfoundland and Labrador,,data.Male lone-parent families,
2015,data.Newfoundland and Labrador,,data.Female lone-parent families,31700.0
2016,data.Newfoundland and Labrador,,data.Female lone-parent families,50700.0
2017,data.Newfoundland and Labrador,,data.Female lone-parent families,39800.0
2018,data.Newfoundland and Labrador,,data.Female lone-parent families,47800.0
2019,data.Newfoundland and Labrador,,data.Female lone-parent families,45800.0
2020,data.Newfoundland and Labrador,,data.Female lone-parent families,46200.0
2015,data.Newfoundland and Labrador,,data.Other non-elderly families,74100.0
2016,data.Newfoundland and Labrador,,data.Other non-elderly families,75100.0
2017,data.Newfoundland and Labrador,,data.Other non-elderly families,67800.0
2018,data.Newfoundland and Labrador,,data.Other non-elderly families,68600.0
2019,data.Newfoundland and Labrador,,data.Other non-elderly families,55200.0
2020,data.Newfoundland and Labrador,,data.Other non-elderly families,84900.0
2015,data.Newfoundland and Labrador,,data.Persons not in an economic family,24600.0
2016,data.Newfoundland and Labrador,,data.Persons not in an economic family,28200.0
2017,data.Newfoundland and Labrador,,data.Persons not in an economic family,25400.0
2018,data.Newfoundland and Labrador,,data.Persons not in an economic family,27100.0
2019,data.Newfoundland and Labrador,,data.Persons not in an economic family,30300.0
2020,data.Newfoundland and Labrador,,data.Persons not in an economic family,33000.0
2015,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,23800.0
2016,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,25900.0
2017,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,25700.0
2018,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,24200.0
2019,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,25900.0
2020,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,28700.0
2015,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,27700.0
2016,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,26700.0
2017,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,26400.0
2018,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,26200.0
2019,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,26100.0
2020,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,36000.0
2015,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,22400.0
2016,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,24500.0
2017,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,25300.0
2018,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,23700.0
2019,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,25800.0
2020,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,27200.0
2015,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,25600.0
2016,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,32500.0
2017,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,25200.0
2018,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,30100.0
2019,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,33900.0
2020,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,35500.0
2015,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,28800.0
2016,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,36000.0
2017,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,27800.0
2018,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,34400.0
2019,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,34900.0
2020,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,37500.0
2015,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,22800.0
2016,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,26200.0
2017,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,19600.0
2018,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,28400.0
2019,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,32000.0
2020,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,33100.0
2015,data.Prince Edward Island,11,data.Economic families and persons not in an economic family,55600.0
2016,data.Prince Edward Island,11,data.Economic families and persons not in an economic family,53200.0
2017,data.Prince Edward Island,11,data.Economic families and persons not in an economic family,52200.0
2018,data.Prince Edward Island,11,data.Economic families and persons not in an economic family,56200.0
2019,data.Prince Edward Island,11,data.Economic families and persons not in an economic family,57200.0
2020,data.Prince Edward Island,11,data.Economic families and persons not in an economic family,59400.0
2015,data.Prince Edward Island,,data.Economic families,71800.0
2016,data.Prince Edward Island,,data.Economic families,71400.0
2017,data.Prince Edward Island,,data.Economic families,72600.0
2018,data.Prince Edward Island,,data.Economic families,72500.0
2019,data.Prince Edward Island,,data.Economic families,76800.0
2020,data.Prince Edward Island,,data.Economic families,78800.0
2015,data.Prince Edward Island,,data.Elderly families,58100.0
2016,data.Prince Edward Island,,data.Elderly families,59500.0
2017,data.Prince Edward Island,,data.Elderly families,64300.0
2018,data.Prince Edward Island,,data.Elderly families,62300.0
2019,data.Prince Edward Island,,data.Elderly families,58500.0
2020,data.Prince Edward Island,,data.Elderly families,63300.0
2015,data.Prince Edward Island,,data.Elderly couples,57600.0
2016,data.Prince Edward Island,,data.Elderly couples,56500.0
2017,data.Prince Edward Island,,data.Elderly couples,60800.0
2018,data.Prince Edward Island,,data.Elderly couples,59800.0
2019,data.Prince Edward Island,,data.Elderly couples,57600.0
2020,data.Prince Edward Island,,data.Elderly couples,60100.0
2015,data.Prince Edward Island,,data.Other elderly families,60600.0
2016,data.Prince Edward Island,,data.Other elderly families,82000.0
2017,data.Prince Edward Island,,data.Other elderly families,
2018,data.Prince Edward Island,,data.Other elderly families,66400.0
2019,data.Prince Edward Island,,data.Other elderly families,78800.0
2020,data.Prince Edward Island,,data.Other elderly families,88600.0
2015,data.Prince Edward Island,,data.Non-elderly families,77300.0
2016,data.Prince Edward Island,,data.Non-elderly families,75600.0
2017,data.Prince Edward Island,,data.Non-elderly families,76900.0
2018,data.Prince Edward Island,,data.Non-elderly families,76600.0
2019,data.Prince Edward Island,,data.Non-elderly families,81100.0
2020,data.Prince Edward Island,,data.Non-elderly families,84800.0
2015,data.Prince Edward Island,,data.Couples,68000.0
2016,data.Prince Edward Island,,data.Couples,64800.0
2017,data.Prince Edward Island,,data.Couples,67400.0
2018,data.Prince Edward Island,,data.Couples,69900.0
2019,data.Prince Edward Island,,data.Couples,76800.0
2020,data.Prince Edward Island,,data.Couples,79900.0
2015,data.Prince Edward Island,,data.Couples with children,89200.0
2016,data.Prince Edward Island,,data.Couples with children,92800.0
2017,data.Prince Edward Island,,data.Couples with children,86300.0
2018,data.Prince Edward Island,,data.Couples with children,86100.0
2019,data.Prince Edward Island,,data.Couples with children,91000.0
2020,data.Prince Edward Island,,data.Couples with children,96300.0
2015,data.Prince Edward Island,,data.Couples with other relatives,104900.0
2016,data.Prince Edward Island,,data.Couples with other relatives,94900.0
2017,data.Prince Edward Island,,data.Couples with other relatives,125100.0
2018,data.Prince Edward Island,,data.Couples with other relatives,120600.0
2019,data.Prince Edward Island,,data.Couples with other relatives,119900.0
2020,data.Prince Edward Island,,data.Couples with other relatives,116700.0
2015,data.Prince Edward Island,,data.Lone-parent families,40500.0
2016,data.Prince Edward Island,,data.Lone-parent families,43100.0
2017,data.Prince Edward Island,,data.Lone-parent families,48200.0
2018,data.Prince Edward Island,,data.Lone-parent families,49400.0
2019,data.Prince Edward Island,,data.Lone-parent families,52400.0
2020,data.Prince Edward Island,,data.Lone-parent families,50000.0
2015,data.Prince Edward Island,,data.Male lone-parent families,
2016,data.Prince Edward Island,,data.Male lone-parent families,
2017,data.Prince Edward Island,,data.Male lone-parent families,
2018,data.Prince Edward Island,,data.Male lone-parent families,
2019,data.Prince Edward Island,,data.Male lone-parent families,
2020,data.Prince Edward Island,,data.Male lone-parent families,
2015,data.Prince Edward Island,,data.Female lone-parent families,40500.0
2016,data.Prince Edward Island,,data.Female lone-parent families,42500.0
2017,data.Prince Edward Island,,data.Female lone-parent families,45600.0
2018,data.Prince Edward Island,,data.Female lone-parent families,47300.0
2019,data.Prince Edward Island,,data.Female lone-parent families,52400.0
2020,data.Prince Edward Island,,data.Female lone-parent families,50000.0
2015,data.Prince Edward Island,,data.Other non-elderly families,
2016,data.Prince Edward Island,,data.Other non-elderly families,67300.0
2017,data.Prince Edward Island,,data.Other non-elderly families,61900.0
2018,data.Prince Edward Island,,data.Other non-elderly families,63800.0
2019,data.Prince Edward Island,,data.Other non-elderly families,68000.0
2020,data.Prince Edward Island,,data.Other non-elderly families,70200.0
2015,data.Prince Edward Island,,data.Persons not in an economic family,27000.0
2016,data.Prince Edward Island,,data.Persons not in an economic family,27200.0
2017,data.Prince Edward Island,,data.Persons not in an economic family,26400.0
2018,data.Prince Edward Island,,data.Persons not in an economic family,25900.0
2019,data.Prince Edward Island,,data.Persons not in an economic family,29100.0
2020,data.Prince Edward Island,,data.Persons not in an economic family,30400.0
2015,data.Prince Edward Island,,data.Elderly persons not in an economic family,25900.0
2016,data.Prince Edward Island,,data.Elderly persons not in an economic family,26800.0
2017,data.Prince Edward Island,,data.Elderly persons not in an economic family,25400.0
2018,data.Prince Edward Island,,data.Elderly persons not in an economic family,24200.0
2019,data.Prince Edward Island,,data.Elderly persons not in an economic family,33300.0
2020,data.Prince Edward Island,,data.Elderly persons not in an economic family,28700.0
2015,data.Prince Edward Island,,data.Elderly males not in an economic family,27500.0
2016,data.Prince Edward Island,,data.Elderly males not in an economic family,
2017,data.Prince Edward Island,,data.Elderly males not in an economic family,21700.0
2018,data.Prince Edward Island,,data.Elderly males not in an economic family,24700.0
2019,data.Prince Edward Island,,data.Elderly males not in an economic family,35100.0
2020,data.Prince Edward Island,,data.Elderly males not in an economic family,28100.0
2015,data.Prince Edward Island,,data.Elderly females not in an economic family,24900.0
2016,data.Prince Edward Island,,data.Elderly females not in an economic family,24900.0
