Year,Units,data.Geography,data.Type of cyber-related violation,data.Cyber-related violation,Value
2021,data.Number,data.Canada,data.Against a person,data.Uttering threats,5007.0
2021,data.Number,data.Canada,data.Against a person,data.Fraud,34080.0
2021,data.Number,data.Canada,data.Against a person,data.Identity theft,864.0
2021,data.Number,data.Canada,data.Against a person,data.Identity fraud,5316.0
2021,data.Number,data.Canada,data.Against a person,data.Child pornography,1903.0
2021,data.Number,data.Canada,data.Against a person,data.Making or distribution of child pornography,5531.0
2022,data.Number,data.Canada,data.Against a person,data.Luring a child via a computer,1935.0
2022,data.Number,data.Canada,data.Against a person,data.Non-consensual distribution of intimate images,896.0
2022,data.Number,data.Canada,data.Against a person,data.Extortion,4570.0
2022,data.Number,data.Canada,data.Against a person,data.Criminal harassment,2868.0
2022,data.Number,data.Canada,data.Against a person,data.Indecent/Harassing communications,5583.0
2022,data.Number,data.Canada,data.Against a person,data.Uttering threats,4460.0
2022,data.Number,data.Canada,data.Against a person,data.Fraud,36839.0
2022,data.Number,data.Canada,data.Against a person,data.Identity theft,766.0
2022,data.Number,data.Canada,data.Against a person,data.Identity fraud,3735.0
2022,data.Number,data.Canada,data.Against a person,data.Child pornography,1696.0
2022,data.Number,data.Canada,data.Against a person,data.Making or distribution of child pornography,7435.0
2015,"data.Rate per 100,000 population",data.Manitoba,,,23.3
2016,"data.Rate per 100,000 population",data.Manitoba,,,43.8
2017,"data.Rate per 100,000 population",data.Manitoba,,,54.9
2018,"data.Rate per 100,000 population",data.Manitoba,,,65.7
2019,"data.Rate per 100,000 population",data.Manitoba,,,106.5
2020,"data.Rate per 100,000 population",data.Manitoba,,,144.2
2021,"data.Rate per 100,000 population",data.Manitoba,,,156.8
2022,"data.Rate per 100,000 population",data.Manitoba,,,165.2
2015,"data.Rate per 100,000 population",data.New Brunswick,,,73.6
2016,"data.Rate per 100,000 population",data.New Brunswick,,,83.8
2017,"data.Rate per 100,000 population",data.New Brunswick,,,116.1
2018,"data.Rate per 100,000 population",data.New Brunswick,,,133.6
2019,"data.Rate per 100,000 population",data.New Brunswick,,,150.2
2020,"data.Rate per 100,000 population",data.New Brunswick,,,189.8
2021,"data.Rate per 100,000 population",data.New Brunswick,,,195.8
2022,"data.Rate per 100,000 population",data.New Brunswick,,,196.9
2015,"data.Rate per 100,000 population",data.Newfoundland and Labrador,,,36.0
2016,"data.Rate per 100,000 population",data.Newfoundland and Labrador,,,40.9
2017,"data.Rate per 100,000 population",data.Newfoundland and Labrador,,,53.2
2018,"data.Rate per 100,000 population",data.Newfoundland and Labrador,,,79.9
2019,"data.Rate per 100,000 population",data.Newfoundland and Labrador,,,119.0
2020,"data.Rate per 100,000 population",data.Newfoundland and Labrador,,,145.7
2021,"data.Rate per 100,000 population",data.Newfoundland and Labrador,,,141.9
2022,"data.Rate per 100,000 population",data.Newfoundland and Labrador,,,167.4
2015,"data.Rate per 100,000 population",data.Northwest Territories,,,88.5
2016,"data.Rate per 100,000 population",data.Northwest Territories,,,69.7
2017,"data.Rate per 100,000 population",data.Northwest Territories,,,75.7
2018,"data.Rate per 100,000 population",data.Northwest Territories,,,124.5
2019,"data.Rate per 100,000 population",data.Northwest Territories,,,130.9
2020,"data.Rate per 100,000 population",data.Northwest Territories,,,198.5
2021,"data.Rate per 100,000 population",data.Northwest Territories,,,223.7
2022,"data.Rate per 100,000 population",data.Northwest Territories,,,144.7
2015,"data.Rate per 100,000 population",data.Nova Scotia,,,146.0
2016,"data.Rate per 100,000 population",data.Nova Scotia,,,137.3
2017,"data.Rate per 100,000 population",data.Nova Scotia,,,177.7
2018,"data.Rate per 100,000 population",data.Nova Scotia,,,236.1
2019,"data.Rate per 100,000 population",data.Nova Scotia,,,296.6
2020,"data.Rate per 100,000 population",data.Nova Scotia,,,303.4
2021,"data.Rate per 100,000 population",data.Nova Scotia,,,295.6
2022,"data.Rate per 100,000 population",data.Nova Scotia,,,308.1
2015,"data.Rate per 100,000 population",data.Nunavut,,,16.3
2016,"data.Rate per 100,000 population",data.Nunavut,,,45.8
2017,"data.Rate per 100,000 population",data.Nunavut,,,53.3
2018,"data.Rate per 100,000 population",data.Nunavut,,,52.4
2019,"data.Rate per 100,000 population",data.Nunavut,,,77.7
2020,"data.Rate per 100,000 population",data.Nunavut,,,140.5
2021,"data.Rate per 100,000 population",data.Nunavut,,,148.6
2022,"data.Rate per 100,000 population",data.Nunavut,,,153.0
2015,"data.Rate per 100,000 population",data.Ontario,,,56.2
2016,"data.Rate per 100,000 population",data.Ontario,,,70.0
2017,"data.Rate per 100,000 population",data.Ontario,,,80.7
2018,"data.Rate per 100,000 population",data.Ontario,,,74.6
2019,"data.Rate per 100,000 population",data.Ontario,,,129.7
2020,"data.Rate per 100,000 population",data.Ontario,,,181.6
2021,"data.Rate per 100,000 population",data.Ontario,,,197.4
2022,"data.Rate per 100,000 population",data.Ontario,,,186.7
2015,"data.Rate per 100,000 population",data.Prince Edward Island,,,53.9
2016,"data.Rate per 100,000 population",data.Prince Edward Island,,,76.0
2017,"data.Rate per 100,000 population",data.Prince Edward Island,,,70.5
2018,"data.Rate per 100,000 population",data.Prince Edward Island,,,78.9
2019,"data.Rate per 100,000 population",data.Prince Edward Island,,,101.6
2020,"data.Rate per 100,000 population",data.Prince Edward Island,,,126.5
2021,"data.Rate per 100,000 population",data.Prince Edward Island,,,136.6
2022,"data.Rate per 100,000 population",data.Prince Edward Island,,,126.0
2015,"data.Rate per 100,000 population",data.Quebec,,,26.3
2016,"data.Rate per 100,000 population",data.Quebec,,,37.2
2017,"data.Rate per 100,000 population",data.Quebec,,,42.2
2018,"data.Rate per 100,000 population",data.Quebec,,,48.0
2019,"data.Rate per 100,000 population",data.Quebec,,,57.9
2020,"data.Rate per 100,000 population",data.Quebec,,,79.0
2021,"data.Rate per 100,000 population",data.Quebec,,,97.3
2022,"data.Rate per 100,000 population",data.Quebec,,,93.0
2015,"data.Rate per 100,000 population",data.Saskatchewan,,,61.3
2016,"data.Rate per 100,000 population",data.Saskatchewan,,,76.7
2017,"data.Rate per 100,000 population",data.Saskatchewan,,,78.7
2018,"data.Rate per 100,000 population",data.Saskatchewan,,,107.4
2019,"data.Rate per 100,000 population",data.Saskatchewan,,,92.1
2020,"data.Rate per 100,000 population",data.Saskatchewan,,,126.5
2021,"data.Rate per 100,000 population",data.Saskatchewan,,,161.9
2022,"data.Rate per 100,000 population",data.Saskatchewan,,,159.9
2015,"data.Rate per 100,000 population",data.Total Census metropolitan area,,,51.6
2016,"data.Rate per 100,000 population",data.Total Census metropolitan area,,,71.2
2017,"data.Rate per 100,000 population",data.Total Census metropolitan area,,,81.0
2018,"data.Rate per 100,000 population",data.Total Census metropolitan area,,,92.6
2019,"data.Rate per 100,000 population",data.Total Census metropolitan area,,,136.7
2020,"data.Rate per 100,000 population",data.Total Census metropolitan area,,,186.3
2021,"data.Rate per 100,000 population",data.Total Census metropolitan area,,,201.9
2022,"data.Rate per 100,000 population",data.Total Census metropolitan area,,,202.8
2015,"data.Rate per 100,000 population",data.Total Non-Census metropolitan area,,,66.3
2016,"data.Rate per 100,000 population",data.Total Non-Census metropolitan area,,,80.6
2017,"data.Rate per 100,000 population",data.Total Non-Census metropolitan area,,,83.6
2018,"data.Rate per 100,000 population",data.Total Non-Census metropolitan area,,,90.1
2019,"data.Rate per 100,000 population",data.Total Non-Census metropolitan area,,,110.3
2020,"data.Rate per 100,000 population",data.Total Non-Census metropolitan area,,,135.0
2021,"data.Rate per 100,000 population",data.Total Non-Census metropolitan area,,,153.0
2022,"data.Rate per 100,000 population",data.Total Non-Census metropolitan area,,,160.0
2015,"data.Rate per 100,000 population",data.Yukon,,,96.2
2016,"data.Rate per 100,000 population",data.Yukon,,,88.0
2017,"data.Rate per 100,000 population",data.Yukon,,,101.0
2018,"data.Rate per 100,000 population",data.Yukon,,,120.9
2019,"data.Rate per 100,000 population",data.Yukon,,,152.3
2020,"data.Rate per 100,000 population",data.Yukon,,,191.9
2021,"data.Rate per 100,000 population",data.Yukon,,,215.3
2022,"data.Rate per 100,000 population",data.Yukon,,,186.5
2015,data.Number,,,,17887.0
2016,data.Number,,,,23996.0
2017,data.Number,,,,27829.0
2018,data.Number,,,,33893.0
2019,data.Number,,,,48318.0
2020,data.Number,,,,65141.0
2021,data.Number,,,,71727.0
2022,data.Number,,,,74073.0
2015,"data.Rate per 100,000 population",,,,55.6
2016,"data.Rate per 100,000 population",,,,73.7
2017,"data.Rate per 100,000 population",,,,81.7
2018,"data.Rate per 100,000 population",,,,91.9
2019,"data.Rate per 100,000 population",,,,129.3
2020,"data.Rate per 100,000 population",,,,172.0
2021,"data.Rate per 100,000 population",,,,188.2
2022,"data.Rate per 100,000 population",,,,191.0
