Year,Géographie,Sexe,Groupe d'âge,GeoCode,Value
2016,Nouveau-Brunswick,Total,Total,13,38.56
2017,Nouveau-Brunswick,Total,Total,13,38.21
2018,Nouveau-Brunswick,Total,Total,13,39.1
2019,Nouveau-Brunswick,Total,Total,13,38.28
2020,Nouveau-Brunswick,Total,Total,13,40.05
2021,Nouveau-Brunswick,Total,Total,13,38.51
2022,Nouveau-Brunswick,Total,Total,13,35.16
2015,Terre-Neuve-et-Labrador,Total,Total,10,36.33
2016,Terre-Neuve-et-Labrador,Total,Total,10,36.5
2017,Terre-Neuve-et-Labrador,Total,Total,10,34.14
2018,Terre-Neuve-et-Labrador,Total,Total,10,34.31
2019,Terre-Neuve-et-Labrador,Total,Total,10,33.86
2020,Terre-Neuve-et-Labrador,Total,Total,10,35.88
2021,Terre-Neuve-et-Labrador,Total,Total,10,32.95
2022,Terre-Neuve-et-Labrador,Total,Total,10,32.56
2015,Territoires du Nord-Ouest,Total,Total,61,12.38
2016,Territoires du Nord-Ouest,Total,Total,61,11.05
2017,Territoires du Nord-Ouest,Total,Total,61,9.92
2018,Territoires du Nord-Ouest,Total,Total,61,12.67
2019,Territoires du Nord-Ouest,Total,Total,61,12.2
2020,Territoires du Nord-Ouest,Total,Total,61,11.72
2021,Territoires du Nord-Ouest,Total,Total,61,12.52
2022,Territoires du Nord-Ouest,Total,Total,61,12.6
2015,Nouvelle-Écosse,Total,Total,12,38.65
2016,Nouvelle-Écosse,Total,Total,12,36.75
2017,Nouvelle-Écosse,Total,Total,12,35.94
2018,Nouvelle-Écosse,Total,Total,12,38.09
2019,Nouvelle-Écosse,Total,Total,12,37.88
2020,Nouvelle-Écosse,Total,Total,12,37.72
2021,Nouvelle-Écosse,Total,Total,12,38.26
2022,Nouvelle-Écosse,Total,Total,12,35.36
2015,Nunavut,Total,Total,62,15.64
2016,Nunavut,Total,Total,62,15.97
2017,Nunavut,Total,Total,62,15.18
2018,Nunavut,Total,Total,62,15.03
2019,Nunavut,Total,Total,62,14.15
2020,Nunavut,Total,Total,62,17.62
2021,Nunavut,Total,Total,62,11.68
2022,Nunavut,Total,Total,62,13.92
2015,Ontario,Total,Total,35,31.78
2016,Ontario,Total,Total,35,30.69
2017,Ontario,Total,Total,35,30.69
2018,Ontario,Total,Total,35,29.46
2019,Ontario,Total,Total,35,27.95
2020,Ontario,Total,Total,35,26.78
2021,Ontario,Total,Total,35,27.7
2022,Ontario,Total,Total,35,25.24
2015,Île-du-Prince-Édouard,Total,Total,11,41.83
2016,Île-du-Prince-Édouard,Total,Total,11,41.03
2017,Île-du-Prince-Édouard,Total,Total,11,39.31
2018,Île-du-Prince-Édouard,Total,Total,11,41.09
2019,Île-du-Prince-Édouard,Total,Total,11,40.66
2020,Île-du-Prince-Édouard,Total,Total,11,38.99
2021,Île-du-Prince-Édouard,Total,Total,11,39.66
2022,Île-du-Prince-Édouard,Total,Total,11,36.33
2015,Québec,Total,Total,24,32.16
2016,Québec,Total,Total,24,30.52
2017,Québec,Total,Total,24,28.82
2018,Québec,Total,Total,24,29.83
2019,Québec,Total,Total,24,28.14
2020,Québec,Total,Total,24,26.43
2021,Québec,Total,Total,24,26.37
2022,Québec,Total,Total,24,22.94
2015,Saskatchewan,Total,Total,47,25.37
2016,Saskatchewan,Total,Total,47,24.2
2017,Saskatchewan,Total,Total,47,24.11
2018,Saskatchewan,Total,Total,47,25.71
2019,Saskatchewan,Total,Total,47,26.44
2020,Saskatchewan,Total,Total,47,26.18
2021,Saskatchewan,Total,Total,47,27.44
2022,Saskatchewan,Total,Total,47,26.83
2015,Yukon,Total,Total,60,15.36
2016,Yukon,Total,Total,60,16.0
2017,Yukon,Total,Total,60,16.65
2018,Yukon,Total,Total,60,14.53
2019,Yukon,Total,Total,60,15.27
2020,Yukon,Total,Total,60,16.03
2021,Yukon,Total,Total,60,14.18
2022,Yukon,Total,Total,60,11.45
