Year,Age at time of death,Sex,Leading causes of death,Value
2016,15 to 24,Both sexes,Diabetes mellitus,0.2
2016,15 to 24,Both sexes,Alzheimer's disease,0.0
2016,15 to 24,Both sexes,Diseases of heart,0.9
2016,15 to 24,Both sexes,Cerebrovascular diseases,0.2
2016,15 to 24,Both sexes,Influenza and pneumonia,0.3
2016,15 to 24,Both sexes,Chronic lower respiratory diseases,0.1
2016,15 to 24,Both sexes,Chronic liver disease and cirrhosis,0.0
2016,15 to 24,Both sexes,Accidents (unintentional injuries),15.9
2016,15 to 24,Both sexes,Intentional self-harm (suicide),10.7
2016,15 to 24,Males,Malignant neoplasms,3.8
2016,15 to 24,Males,Diabetes mellitus,0.3
2016,15 to 24,Males,Alzheimer's disease,0.0
2016,15 to 24,Males,Diseases of heart,1.1
2016,15 to 24,Males,Cerebrovascular diseases,0.2
2016,15 to 24,Males,Influenza and pneumonia,0.3
2016,15 to 24,Males,Chronic lower respiratory diseases,0.1
2016,15 to 24,Males,Chronic liver disease and cirrhosis,0.0
2016,15 to 24,Males,Accidents (unintentional injuries),22.2
2016,15 to 24,Males,Intentional self-harm (suicide),14.8
2016,15 to 24,Females,Malignant neoplasms,2.1
2016,15 to 24,Females,Diabetes mellitus,0.2
2016,15 to 24,Females,Alzheimer's disease,0.0
2016,15 to 24,Females,Diseases of heart,0.8
2016,15 to 24,Females,Cerebrovascular diseases,0.1
2016,15 to 24,Females,Influenza and pneumonia,0.3
2016,15 to 24,Females,Chronic lower respiratory diseases,0.0
2016,15 to 24,Females,Chronic liver disease and cirrhosis,0.0
2016,15 to 24,Females,Accidents (unintentional injuries),9.3
2016,15 to 24,Females,Intentional self-harm (suicide),6.4
2016,25 to 34 years,Both sexes,Malignant neoplasms,6.9
2016,25 to 34 years,Both sexes,Diabetes mellitus,0.8
2016,25 to 34 years,Both sexes,Alzheimer's disease,0.0
2016,25 to 34 years,Both sexes,Diseases of heart,3.1
2016,25 to 34 years,Both sexes,Cerebrovascular diseases,0.7
2016,25 to 34 years,Both sexes,Influenza and pneumonia,0.6
2016,25 to 34 years,Both sexes,Chronic lower respiratory diseases,0.3
2016,25 to 34 years,Both sexes,Chronic liver disease and cirrhosis,0.8
2016,25 to 34 years,Both sexes,Accidents (unintentional injuries),24.8
2016,25 to 34 years,Both sexes,Intentional self-harm (suicide),11.9
2016,25 to 34 years,Males,Malignant neoplasms,6.3
2016,25 to 34 years,Males,Diabetes mellitus,1.0
2016,25 to 34 years,Males,Alzheimer's disease,0.0
2016,25 to 34 years,Males,Diseases of heart,4.2
2016,25 to 34 years,Males,Cerebrovascular diseases,1.0
2016,25 to 34 years,Males,Influenza and pneumonia,0.7
2016,25 to 34 years,Males,Chronic lower respiratory diseases,0.4
2016,25 to 34 years,Males,Chronic liver disease and cirrhosis,0.8
2016,25 to 34 years,Males,Accidents (unintentional injuries),38.2
2016,25 to 34 years,Males,Intentional self-harm (suicide),17.5
2016,25 to 34 years,Females,Malignant neoplasms,7.4
2016,25 to 34 years,Females,Diabetes mellitus,0.5
2016,25 to 34 years,Females,Alzheimer's disease,0.0
2016,25 to 34 years,Females,Diseases of heart,2.0
2016,25 to 34 years,Females,Cerebrovascular diseases,0.5
2016,25 to 34 years,Females,Influenza and pneumonia,0.4
2016,25 to 34 years,Females,Chronic lower respiratory diseases,0.2
2016,25 to 34 years,Females,Chronic liver disease and cirrhosis,0.8
2016,25 to 34 years,Females,Accidents (unintentional injuries),11.3
2016,25 to 34 years,Females,Intentional self-harm (suicide),6.3
2016,35 to 44 years,Both sexes,Malignant neoplasms,24.3
2016,35 to 44 years,Both sexes,Diabetes mellitus,1.9
2016,35 to 44 years,Both sexes,Alzheimer's disease,0.0
2016,35 to 44 years,Both sexes,Diseases of heart,9.6
2016,35 to 44 years,Both sexes,Cerebrovascular diseases,2.2
2016,35 to 44 years,Both sexes,Influenza and pneumonia,1.5
2016,35 to 44 years,Both sexes,Chronic lower respiratory diseases,0.4
2016,35 to 44 years,Both sexes,Chronic liver disease and cirrhosis,3.0
2016,35 to 44 years,Both sexes,Accidents (unintentional injuries),21.5
2016,35 to 44 years,Both sexes,Intentional self-harm (suicide),13.5
2016,35 to 44 years,Males,Malignant neoplasms,20.3
2016,35 to 44 years,Males,Diabetes mellitus,2.3
2016,35 to 44 years,Males,Alzheimer's disease,0.0
2016,35 to 44 years,Males,Diseases of heart,13.7
2016,35 to 44 years,Males,Cerebrovascular diseases,1.9
2016,35 to 44 years,Males,Influenza and pneumonia,1.5
2016,35 to 44 years,Males,Chronic lower respiratory diseases,0.3
2016,35 to 44 years,Males,Chronic liver disease and cirrhosis,3.3
2016,35 to 44 years,Males,Accidents (unintentional injuries),32.4
2016,35 to 44 years,Males,Intentional self-harm (suicide),20.8
2016,35 to 44 years,Females,Malignant neoplasms,28.3
2016,35 to 44 years,Females,Diabetes mellitus,1.5
2016,35 to 44 years,Females,Alzheimer's disease,0.0
2016,35 to 44 years,Females,Diseases of heart,5.5
2016,35 to 44 years,Females,Cerebrovascular diseases,2.5
2016,35 to 44 years,Females,Influenza and pneumonia,1.5
2016,35 to 44 years,Females,Chronic lower respiratory diseases,0.6
2016,35 to 44 years,Females,Chronic liver disease and cirrhosis,2.7
2016,35 to 44 years,Females,Accidents (unintentional injuries),10.6
2016,35 to 44 years,Females,Intentional self-harm (suicide),6.2
2016,45 to 54 years,Both sexes,Malignant neoplasms,85.3
2016,45 to 54 years,Both sexes,Diabetes mellitus,6.2
2016,45 to 54 years,Both sexes,Alzheimer's disease,0.2
2016,45 to 54 years,Both sexes,Diseases of heart,36.5
2016,45 to 54 years,Both sexes,Cerebrovascular diseases,5.9
2016,45 to 54 years,Both sexes,Influenza and pneumonia,3.5
2016,45 to 54 years,Both sexes,Chronic lower respiratory diseases,3.1
2016,45 to 54 years,Both sexes,Chronic liver disease and cirrhosis,10.8
2016,45 to 54 years,Both sexes,Accidents (unintentional injuries),26.0
2016,45 to 54 years,Both sexes,Intentional self-harm (suicide),16.4
2016,45 to 54 years,Males,Malignant neoplasms,76.9
2016,45 to 54 years,Males,Diabetes mellitus,8.4
2016,45 to 54 years,Males,Alzheimer's disease,0.1
2016,45 to 54 years,Males,Diseases of heart,55.1
2016,45 to 54 years,Males,Cerebrovascular diseases,6.1
2016,45 to 54 years,Males,Influenza and pneumonia,4.1
2016,45 to 54 years,Males,Chronic lower respiratory diseases,3.0
2016,45 to 54 years,Males,Chronic liver disease and cirrhosis,13.8
