Year,Géographie,Groupe d'activité,Âge,Sexe,GeoCode,Value
2015,Canada,Tâches domestiques,15 à 24 ans,Les deux sexes,,3.8
2015,Canada,Tâches domestiques,15 à 24 ans,Homme,,3.3
2015,Canada,Tâches domestiques,15 à 24 ans,Femme,,4.2
2015,Canada,Tâches domestiques,25 à 54 ans,Les deux sexes,,8.3
2015,Canada,Tâches domestiques,25 à 54 ans,Homme,,6.7
2015,Canada,Tâches domestiques,25 à 54 ans,Femme,,10.0
2015,Canada,Tâches domestiques,25 à 34 ans,Les deux sexes,,6.7
2015,Canada,Tâches domestiques,25 à 34 ans,Homme,,5.0
2015,Canada,Tâches domestiques,25 à 34 ans,Femme,,8.3
2015,Canada,Tâches domestiques,35 à 44 ans,Les deux sexes,,8.3
2015,Canada,Tâches domestiques,35 à 44 ans,Homme,,6.7
2015,Canada,Tâches domestiques,35 à 44 ans,Femme,,10.0
2015,Canada,Tâches domestiques,45 à 54 ans,Les deux sexes,,10.0
2015,Canada,Tâches domestiques,45 à 54 ans,Homme,,8.8
2015,Canada,Tâches domestiques,45 à 54 ans,Femme,,11.3
2015,Canada,Tâches domestiques,55 à 64 ans,Les deux sexes,,10.8
2015,Canada,Tâches domestiques,55 à 64 ans,Homme,,9.6
2015,Canada,Tâches domestiques,55 à 64 ans,Femme,,12.1
2015,Canada,Tâches domestiques,65 ans et plus,Les deux sexes,,11.7
2015,Canada,Tâches domestiques,65 ans et plus,Homme,,10.0
2015,Canada,Tâches domestiques,65 ans et plus,Femme,,13.3
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Les deux sexes,,1.7
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Homme,,1.3
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Femme,,2.1
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,15 à 24 ans,Les deux sexes,,0.4
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,15 à 24 ans,Homme,,
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,15 à 24 ans,Femme,,0.4
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,25 à 54 ans,Les deux sexes,,2.9
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,25 à 54 ans,Homme,,2.1
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,25 à 54 ans,Femme,,3.8
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,25 à 34 ans,Les deux sexes,,3.3
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,25 à 34 ans,Homme,,1.7
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,25 à 34 ans,Femme,,5.0
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Les deux sexes,,4.2
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Homme,,3.3
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Femme,,5.4
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Les deux sexes,,1.3
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Homme,,0.8
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Femme,,1.3
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Les deux sexes,,0.4
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Homme,,
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Femme,,0.4
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Les deux sexes,,0.4
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Homme,,0.4
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Femme,,0.4
2015,Canada,Soins à un adulte du ménage,"Total, 15 ans et plus",Les deux sexes,,
2015,Canada,Soins à un adulte du ménage,"Total, 15 ans et plus",Homme,,
2015,Canada,Soins à un adulte du ménage,"Total, 15 ans et plus",Femme,,
2015,Canada,Soins à un adulte du ménage,15 à 24 ans,Les deux sexes,,
2015,Canada,Soins à un adulte du ménage,15 à 24 ans,Homme,,
2015,Canada,Soins à un adulte du ménage,15 à 24 ans,Femme,,0.0
2015,Canada,Soins à un adulte du ménage,25 à 54 ans,Les deux sexes,,
2015,Canada,Soins à un adulte du ménage,25 à 54 ans,Homme,,
2015,Canada,Soins à un adulte du ménage,25 à 54 ans,Femme,,
2015,Canada,Soins à un adulte du ménage,25 à 34 ans,Les deux sexes,,
2015,Canada,Soins à un adulte du ménage,25 à 34 ans,Homme,,
2015,Canada,Soins à un adulte du ménage,25 à 34 ans,Femme,,
2015,Canada,Soins à un adulte du ménage,35 à 44 ans,Les deux sexes,,
2015,Canada,Soins à un adulte du ménage,35 à 44 ans,Homme,,
2015,Canada,Soins à un adulte du ménage,35 à 44 ans,Femme,,
2015,Canada,Soins à un adulte du ménage,45 à 54 ans,Les deux sexes,,
2015,Canada,Soins à un adulte du ménage,45 à 54 ans,Homme,,
2015,Canada,Soins à un adulte du ménage,45 à 54 ans,Femme,,
2015,Canada,Soins à un adulte du ménage,55 à 64 ans,Les deux sexes,,
2015,Canada,Soins à un adulte du ménage,55 à 64 ans,Homme,,
2015,Canada,Soins à un adulte du ménage,55 à 64 ans,Femme,,0.4
2015,Canada,Soins à un adulte du ménage,65 ans et plus,Les deux sexes,,
2015,Canada,Soins à un adulte du ménage,65 ans et plus,Homme,,
2015,Canada,Soins à un adulte du ménage,65 ans et plus,Femme,,
2015,Canada,Magasinage de biens ou de services,"Total, 15 ans et plus",Les deux sexes,,2.1
2015,Canada,Magasinage de biens ou de services,"Total, 15 ans et plus",Homme,,1.7
2015,Canada,Magasinage de biens ou de services,"Total, 15 ans et plus",Femme,,2.5
2015,Canada,Magasinage de biens ou de services,15 à 24 ans,Les deux sexes,,1.3
2015,Canada,Magasinage de biens ou de services,15 à 24 ans,Homme,,0.8
2015,Canada,Magasinage de biens ou de services,15 à 24 ans,Femme,,1.7
2015,Canada,Magasinage de biens ou de services,25 à 54 ans,Les deux sexes,,1.7
2015,Canada,Magasinage de biens ou de services,25 à 54 ans,Homme,,1.3
2015,Canada,Magasinage de biens ou de services,25 à 54 ans,Femme,,2.1
2015,Canada,Magasinage de biens ou de services,25 à 34 ans,Les deux sexes,,1.7
2015,Canada,Magasinage de biens ou de services,25 à 34 ans,Homme,,1.3
2015,Canada,Magasinage de biens ou de services,25 à 34 ans,Femme,,2.1
2015,Canada,Magasinage de biens ou de services,35 à 44 ans,Les deux sexes,,1.7
2015,Canada,Magasinage de biens ou de services,35 à 44 ans,Homme,,1.7
2015,Canada,Magasinage de biens ou de services,35 à 44 ans,Femme,,2.1
2015,Canada,Magasinage de biens ou de services,45 à 54 ans,Les deux sexes,,2.1
2015,Canada,Magasinage de biens ou de services,45 à 54 ans,Homme,,1.7
2015,Canada,Magasinage de biens ou de services,45 à 54 ans,Femme,,2.5
2015,Canada,Magasinage de biens ou de services,55 à 64 ans,Les deux sexes,,2.5
2015,Canada,Magasinage de biens ou de services,55 à 64 ans,Homme,,2.1
2015,Canada,Magasinage de biens ou de services,55 à 64 ans,Femme,,2.9
2015,Canada,Magasinage de biens ou de services,65 ans et plus,Les deux sexes,,2.5
2015,Canada,Magasinage de biens ou de services,65 ans et plus,Homme,,2.5
2015,Canada,Magasinage de biens ou de services,65 ans et plus,Femme,,2.9
2015,Atlantique,Activités de travail non-rémunéré,"Total, 15 ans et plus",Les deux sexes,,13.3
2015,Atlantique,Activités de travail non-rémunéré,"Total, 15 ans et plus",Homme,,11.3
2015,Atlantique,Activités de travail non-rémunéré,"Total, 15 ans et plus",Femme,,15.4
2015,Atlantique,Activités de travail non-rémunéré,15 à 24 ans,Les deux sexes,,5.8
2015,Atlantique,Activités de travail non-rémunéré,15 à 24 ans,Homme,,5.4
2015,Atlantique,Activités de travail non-rémunéré,15 à 24 ans,Femme,,6.3
2015,Atlantique,Activités de travail non-rémunéré,25 à 54 ans,Les deux sexes,,13.8
2015,Atlantique,Activités de travail non-rémunéré,25 à 54 ans,Homme,,11.3
2015,Atlantique,Activités de travail non-rémunéré,25 à 54 ans,Femme,,16.3
2015,Atlantique,Activités de travail non-rémunéré,25 à 34 ans,Les deux sexes,,12.5
2015,Atlantique,Activités de travail non-rémunéré,25 à 34 ans,Homme,,8.8
2015,Atlantique,Activités de travail non-rémunéré,25 à 34 ans,Femme,,15.8
2015,Atlantique,Activités de travail non-rémunéré,35 à 44 ans,Les deux sexes,,14.6
2015,Atlantique,Activités de travail non-rémunéré,35 à 44 ans,Homme,,12.5
2015,Atlantique,Activités de travail non-rémunéré,35 à 44 ans,Femme,,17.1
2015,Atlantique,Activités de travail non-rémunéré,45 à 54 ans,Les deux sexes,,14.2
2015,Atlantique,Activités de travail non-rémunéré,45 à 54 ans,Homme,,11.7
2015,Atlantique,Activités de travail non-rémunéré,45 à 54 ans,Femme,,16.3
2015,Atlantique,Activités de travail non-rémunéré,55 à 64 ans,Les deux sexes,,15.4
2015,Atlantique,Activités de travail non-rémunéré,55 à 64 ans,Homme,,13.3
2015,Atlantique,Activités de travail non-rémunéré,55 à 64 ans,Femme,,17.5
2015,Atlantique,Activités de travail non-rémunéré,65 ans et plus,Les deux sexes,,15.0
2015,Atlantique,Activités de travail non-rémunéré,65 ans et plus,Homme,,13.3
2015,Atlantique,Activités de travail non-rémunéré,65 ans et plus,Femme,,16.7
2015,Atlantique,Tâches domestiques,"Total, 15 ans et plus",Les deux sexes,,9.2
2015,Atlantique,Tâches domestiques,"Total, 15 ans et plus",Homme,,8.3
2015,Atlantique,Tâches domestiques,"Total, 15 ans et plus",Femme,,10.4
2015,Atlantique,Tâches domestiques,15 à 24 ans,Les deux sexes,,4.2
2015,Atlantique,Tâches domestiques,15 à 24 ans,Homme,,4.6
2015,Atlantique,Tâches domestiques,15 à 24 ans,Femme,,3.8
2015,Atlantique,Tâches domestiques,25 à 54 ans,Les deux sexes,,8.8
2015,Atlantique,Tâches domestiques,25 à 54 ans,Homme,,7.5
2015,Atlantique,Tâches domestiques,25 à 54 ans,Femme,,10.0
2015,Atlantique,Tâches domestiques,25 à 34 ans,Les deux sexes,,6.7
2015,Atlantique,Tâches domestiques,25 à 34 ans,Homme,,5.4
2015,Atlantique,Tâches domestiques,25 à 34 ans,Femme,,7.9
2015,Atlantique,Tâches domestiques,35 à 44 ans,Les deux sexes,,8.8
2015,Atlantique,Tâches domestiques,35 à 44 ans,Homme,,7.1
2015,Atlantique,Tâches domestiques,35 à 44 ans,Femme,,10.4
2015,Atlantique,Tâches domestiques,45 à 54 ans,Les deux sexes,,10.4
2015,Atlantique,Tâches domestiques,45 à 54 ans,Homme,,9.6
2015,Atlantique,Tâches domestiques,45 à 54 ans,Femme,,11.7
2015,Atlantique,Tâches domestiques,55 à 64 ans,Les deux sexes,,12.1
2015,Atlantique,Tâches domestiques,55 à 64 ans,Homme,,10.8
2015,Atlantique,Tâches domestiques,55 à 64 ans,Femme,,12.9
2015,Atlantique,Tâches domestiques,65 ans et plus,Les deux sexes,,11.7
2015,Atlantique,Tâches domestiques,65 ans et plus,Homme,,10.0
2015,Atlantique,Tâches domestiques,65 ans et plus,Femme,,13.3
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Les deux sexes,,1.3
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Homme,,0.8
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Femme,,1.7
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,15 à 24 ans,Les deux sexes,,
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,15 à 24 ans,Homme,,
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,15 à 24 ans,Femme,,
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,25 à 54 ans,Les deux sexes,,2.5
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,25 à 54 ans,Homme,,2.1
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,25 à 54 ans,Femme,,3.3
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,25 à 34 ans,Les deux sexes,,3.8
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,25 à 34 ans,Homme,,1.7
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,25 à 34 ans,Femme,,5.8
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Les deux sexes,,3.8
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Homme,,3.3
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Femme,,4.2
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Les deux sexes,,0.8
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Homme,,0.8
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Femme,,0.8
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Les deux sexes,,0.4
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Homme,,
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Femme,,0.4
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Les deux sexes,,
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Homme,,
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Femme,,
2015,Atlantique,Soins à un adulte du ménage,"Total, 15 ans et plus",Les deux sexes,,
2015,Atlantique,Soins à un adulte du ménage,"Total, 15 ans et plus",Homme,,
2015,Atlantique,Soins à un adulte du ménage,"Total, 15 ans et plus",Femme,,
2015,Atlantique,Soins à un adulte du ménage,15 à 24 ans,Les deux sexes,,0.0
2015,Atlantique,Soins à un adulte du ménage,15 à 24 ans,Homme,,0.0
2015,Atlantique,Soins à un adulte du ménage,15 à 24 ans,Femme,,0.0
2015,Atlantique,Soins à un adulte du ménage,25 à 54 ans,Les deux sexes,,
2015,Atlantique,Soins à un adulte du ménage,25 à 54 ans,Homme,,
2015,Atlantique,Soins à un adulte du ménage,25 à 54 ans,Femme,,
2015,Atlantique,Soins à un adulte du ménage,25 à 34 ans,Les deux sexes,,
2015,Atlantique,Soins à un adulte du ménage,25 à 34 ans,Homme,,
2015,Atlantique,Soins à un adulte du ménage,25 à 34 ans,Femme,,
2015,Atlantique,Soins à un adulte du ménage,35 à 44 ans,Les deux sexes,,
2015,Atlantique,Soins à un adulte du ménage,35 à 44 ans,Homme,,0.0
2015,Atlantique,Soins à un adulte du ménage,35 à 44 ans,Femme,,
2015,Atlantique,Soins à un adulte du ménage,45 à 54 ans,Les deux sexes,,
2015,Atlantique,Soins à un adulte du ménage,45 à 54 ans,Homme,,
2015,Atlantique,Soins à un adulte du ménage,45 à 54 ans,Femme,,
2015,Atlantique,Soins à un adulte du ménage,55 à 64 ans,Les deux sexes,,
2015,Atlantique,Soins à un adulte du ménage,55 à 64 ans,Homme,,
2015,Atlantique,Soins à un adulte du ménage,55 à 64 ans,Femme,,
2015,Atlantique,Soins à un adulte du ménage,65 ans et plus,Les deux sexes,,0.4
2015,Atlantique,Soins à un adulte du ménage,65 ans et plus,Homme,,
2015,Atlantique,Soins à un adulte du ménage,65 ans et plus,Femme,,
2015,Atlantique,Magasinage de biens ou de services,"Total, 15 ans et plus",Les deux sexes,,2.1
2015,Atlantique,Magasinage de biens ou de services,"Total, 15 ans et plus",Homme,,1.7
2015,Atlantique,Magasinage de biens ou de services,"Total, 15 ans et plus",Femme,,2.5
2015,Atlantique,Magasinage de biens ou de services,15 à 24 ans,Les deux sexes,,0.8
2015,Atlantique,Magasinage de biens ou de services,15 à 24 ans,Homme,,
2015,Atlantique,Magasinage de biens ou de services,15 à 24 ans,Femme,,1.3
2015,Atlantique,Magasinage de biens ou de services,25 à 54 ans,Les deux sexes,,2.1
2015,Atlantique,Magasinage de biens ou de services,25 à 54 ans,Homme,,1.3
2015,Atlantique,Magasinage de biens ou de services,25 à 54 ans,Femme,,2.5
2015,Atlantique,Magasinage de biens ou de services,25 à 34 ans,Les deux sexes,,1.7
2015,Atlantique,Magasinage de biens ou de services,25 à 34 ans,Homme,,1.3
2015,Atlantique,Magasinage de biens ou de services,25 à 34 ans,Femme,,2.1
2015,Atlantique,Magasinage de biens ou de services,35 à 44 ans,Les deux sexes,,2.1
2015,Atlantique,Magasinage de biens ou de services,35 à 44 ans,Homme,,1.7
2015,Atlantique,Magasinage de biens ou de services,35 à 44 ans,Femme,,2.1
2015,Atlantique,Magasinage de biens ou de services,45 à 54 ans,Les deux sexes,,2.1
2015,Atlantique,Magasinage de biens ou de services,45 à 54 ans,Homme,,0.8
2015,Atlantique,Magasinage de biens ou de services,45 à 54 ans,Femme,,3.3
2015,Atlantique,Magasinage de biens ou de services,55 à 64 ans,Les deux sexes,,2.5
2015,Atlantique,Magasinage de biens ou de services,55 à 64 ans,Homme,,1.7
2015,Atlantique,Magasinage de biens ou de services,55 à 64 ans,Femme,,2.9
2015,Atlantique,Magasinage de biens ou de services,65 ans et plus,Les deux sexes,,2.9
2015,Atlantique,Magasinage de biens ou de services,65 ans et plus,Homme,,2.9
2015,Atlantique,Magasinage de biens ou de services,65 ans et plus,Femme,,2.5
2015,Québec,Activités de travail non-rémunéré,"Total, 15 ans et plus",Les deux sexes,24,12.5
2015,Québec,Activités de travail non-rémunéré,"Total, 15 ans et plus",Homme,24,10.4
2015,Québec,Activités de travail non-rémunéré,"Total, 15 ans et plus",Femme,24,14.6
2015,Québec,Activités de travail non-rémunéré,15 à 24 ans,Les deux sexes,24,5.4
2015,Québec,Activités de travail non-rémunéré,15 à 24 ans,Homme,24,4.6
2015,Québec,Activités de travail non-rémunéré,15 à 24 ans,Femme,24,5.8
2015,Québec,Activités de travail non-rémunéré,25 à 54 ans,Les deux sexes,24,13.3
2015,Québec,Activités de travail non-rémunéré,25 à 54 ans,Homme,24,10.8
2015,Québec,Activités de travail non-rémunéré,25 à 54 ans,Femme,24,15.8
2015,Québec,Activités de travail non-rémunéré,25 à 34 ans,Les deux sexes,24,12.1
2015,Québec,Activités de travail non-rémunéré,25 à 34 ans,Homme,24,8.8
2015,Québec,Activités de travail non-rémunéré,25 à 34 ans,Femme,24,15.8
2015,Québec,Activités de travail non-rémunéré,35 à 44 ans,Les deux sexes,24,15.0
2015,Québec,Activités de travail non-rémunéré,35 à 44 ans,Homme,24,12.9
2015,Québec,Activités de travail non-rémunéré,35 à 44 ans,Femme,24,17.1
2015,Québec,Activités de travail non-rémunéré,45 à 54 ans,Les deux sexes,24,12.5
2015,Québec,Activités de travail non-rémunéré,45 à 54 ans,Homme,24,10.8
2015,Québec,Activités de travail non-rémunéré,45 à 54 ans,Femme,24,14.6
2015,Québec,Activités de travail non-rémunéré,55 à 64 ans,Les deux sexes,24,13.8
2015,Québec,Activités de travail non-rémunéré,55 à 64 ans,Homme,24,11.7
2015,Québec,Activités de travail non-rémunéré,55 à 64 ans,Femme,24,15.8
2015,Québec,Activités de travail non-rémunéré,65 ans et plus,Les deux sexes,24,14.2
2015,Québec,Activités de travail non-rémunéré,65 ans et plus,Homme,24,11.7
2015,Québec,Activités de travail non-rémunéré,65 ans et plus,Femme,24,16.3
2015,Québec,Tâches domestiques,"Total, 15 ans et plus",Les deux sexes,24,8.8
2015,Québec,Tâches domestiques,"Total, 15 ans et plus",Homme,24,7.5
2015,Québec,Tâches domestiques,"Total, 15 ans et plus",Femme,24,9.6
2015,Québec,Tâches domestiques,15 à 24 ans,Les deux sexes,24,3.3
2015,Québec,Tâches domestiques,15 à 24 ans,Homme,24,3.8
2015,Québec,Tâches domestiques,15 à 24 ans,Femme,24,3.3
2015,Québec,Tâches domestiques,25 à 54 ans,Les deux sexes,24,8.3
2015,Québec,Tâches domestiques,25 à 54 ans,Homme,24,7.1
2015,Québec,Tâches domestiques,25 à 54 ans,Femme,24,9.2
2015,Québec,Tâches domestiques,25 à 34 ans,Les deux sexes,24,6.3
2015,Québec,Tâches domestiques,25 à 34 ans,Homme,24,4.6
2015,Québec,Tâches domestiques,25 à 34 ans,Femme,24,7.9
2015,Québec,Tâches domestiques,35 à 44 ans,Les deux sexes,24,8.8
2015,Québec,Tâches domestiques,35 à 44 ans,Homme,24,7.9
2015,Québec,Tâches domestiques,35 à 44 ans,Femme,24,10.0
2015,Québec,Tâches domestiques,45 à 54 ans,Les deux sexes,24,9.6
2015,Québec,Tâches domestiques,45 à 54 ans,Homme,24,8.8
2015,Québec,Tâches domestiques,45 à 54 ans,Femme,24,10.4
2015,Québec,Tâches domestiques,55 à 64 ans,Les deux sexes,24,10.4
2015,Québec,Tâches domestiques,55 à 64 ans,Homme,24,9.2
2015,Québec,Tâches domestiques,55 à 64 ans,Femme,24,12.1
2015,Québec,Tâches domestiques,65 ans et plus,Les deux sexes,24,11.3
2015,Québec,Tâches domestiques,65 ans et plus,Homme,24,9.2
2015,Québec,Tâches domestiques,65 ans et plus,Femme,24,12.9
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Les deux sexes,24,1.7
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Homme,24,1.3
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Femme,24,2.1
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,15 à 24 ans,Les deux sexes,24,
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,15 à 24 ans,Homme,24,
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,15 à 24 ans,Femme,24,
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,25 à 54 ans,Les deux sexes,24,2.9
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,25 à 54 ans,Homme,24,2.1
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,25 à 54 ans,Femme,24,3.8
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,25 à 34 ans,Les deux sexes,24,4.2
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,25 à 34 ans,Homme,24,2.5
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,25 à 34 ans,Femme,24,5.8
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Les deux sexes,24,3.8
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Homme,24,2.9
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Femme,24,5.0
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Les deux sexes,24,0.8
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Homme,24,0.8
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Femme,24,0.8
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Les deux sexes,24,
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Homme,24,
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Femme,24,
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Les deux sexes,24,0.4
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Homme,24,
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Femme,24,
2015,Québec,Soins à un adulte du ménage,"Total, 15 ans et plus",Les deux sexes,24,
2015,Québec,Soins à un adulte du ménage,"Total, 15 ans et plus",Homme,24,
2015,Québec,Soins à un adulte du ménage,"Total, 15 ans et plus",Femme,24,
2015,Québec,Soins à un adulte du ménage,15 à 24 ans,Les deux sexes,24,
2015,Québec,Soins à un adulte du ménage,15 à 24 ans,Homme,24,
2015,Québec,Soins à un adulte du ménage,15 à 24 ans,Femme,24,0.0
2015,Québec,Soins à un adulte du ménage,25 à 54 ans,Les deux sexes,24,
2015,Québec,Soins à un adulte du ménage,25 à 54 ans,Homme,24,
2015,Québec,Soins à un adulte du ménage,25 à 54 ans,Femme,24,
2015,Québec,Soins à un adulte du ménage,25 à 34 ans,Les deux sexes,24,
2015,Québec,Soins à un adulte du ménage,25 à 34 ans,Homme,24,
2015,Québec,Soins à un adulte du ménage,25 à 34 ans,Femme,24,
2015,Québec,Soins à un adulte du ménage,35 à 44 ans,Les deux sexes,24,
2015,Québec,Soins à un adulte du ménage,35 à 44 ans,Homme,24,
2015,Québec,Soins à un adulte du ménage,35 à 44 ans,Femme,24,
2015,Québec,Soins à un adulte du ménage,45 à 54 ans,Les deux sexes,24,
2015,Québec,Soins à un adulte du ménage,45 à 54 ans,Homme,24,
2015,Québec,Soins à un adulte du ménage,45 à 54 ans,Femme,24,
2015,Québec,Soins à un adulte du ménage,55 à 64 ans,Les deux sexes,24,
2015,Québec,Soins à un adulte du ménage,55 à 64 ans,Homme,24,
2015,Québec,Soins à un adulte du ménage,55 à 64 ans,Femme,24,
2015,Québec,Soins à un adulte du ménage,65 ans et plus,Les deux sexes,24,
2015,Québec,Soins à un adulte du ménage,65 ans et plus,Homme,24,
2015,Québec,Soins à un adulte du ménage,65 ans et plus,Femme,24,
2015,Québec,Magasinage de biens ou de services,"Total, 15 ans et plus",Les deux sexes,24,2.1
