Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,Canada,Pneus,Sources des matières non résidentielles récupérées,,
2018,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,,19.4874546228456
2018,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,,3.17285371252423
2018,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,,16.3146009103214
2018,Canada,data.All organic materials,Toutes les sources des matières récupérées,,77.6573115145355
2018,Canada,data.All organic materials,Sources des matières résidentielles récupérées,,61.4735079419798
2018,Canada,data.All organic materials,Sources des matières non résidentielles récupérées,,16.1838035725557
2018,Canada,data.Food waste and source separated organics,Toutes les sources des matières récupérées,,
2018,Canada,data.Food waste and source separated organics,Sources des matières résidentielles récupérées,,
2018,Canada,data.Food waste and source separated organics,Sources des matières non résidentielles récupérées,,
2018,Canada,data.Leaf and yard waste,Toutes les sources des matières récupérées,,
2018,Canada,data.Leaf and yard waste,Sources des matières résidentielles récupérées,,
2018,Canada,data.Leaf and yard waste,Sources des matières non résidentielles récupérées,,
2018,Canada,data.Other organic materials,Toutes les sources des matières récupérées,,
2018,Canada,data.Other organic materials,Sources des matières résidentielles récupérées,,
2018,Canada,data.Other organic materials,Sources des matières non résidentielles récupérées,,
2018,Canada,Autres matières,Toutes les sources des matières récupérées,,1.72561313443722
2018,Canada,Autres matières,Sources des matières résidentielles récupérées,,1.25389033739725
2018,Canada,Autres matières,Sources des matières non résidentielles récupérées,,0.471722797039972
2018,Terre-Neuve-et-Labrador,Toutes les matières,Toutes les sources des matières récupérées,10,78.9909954920685
2018,Terre-Neuve-et-Labrador,Toutes les matières,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Toutes les matières,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,10,54.2749648941526
2018,Terre-Neuve-et-Labrador,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,10,25.455997517042
2018,Terre-Neuve-et-Labrador,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,10,28.8189673771106
2018,Terre-Neuve-et-Labrador,Verre,Toutes les sources des matières récupérées,10,
2018,Terre-Neuve-et-Labrador,Verre,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Verre,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Métaux ferreux,Toutes les sources des matières récupérées,10,1.01059420668355
2018,Terre-Neuve-et-Labrador,Métaux ferreux,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Métaux ferreux,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Cuivre et aluminium,Toutes les sources des matières récupérées,10,0.200604842525199
2018,Terre-Neuve-et-Labrador,Cuivre et aluminium,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Cuivre et aluminium,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Métaux mélangés,Toutes les sources des matières récupérées,10,
2018,Terre-Neuve-et-Labrador,Métaux mélangés,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Métaux mélangés,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Électroménagers,Toutes les sources des matières récupérées,10,2.3883331251585
2018,Terre-Neuve-et-Labrador,Électroménagers,Sources des matières résidentielles récupérées,10,2.3883331251585
2018,Terre-Neuve-et-Labrador,Électroménagers,Sources des matières non résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Matériel électronique,Toutes les sources des matières récupérées,10,1.50642881745338
2018,Terre-Neuve-et-Labrador,Matériel électronique,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Matériel électronique,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Matières plastiques,Toutes les sources des matières récupérées,10,2.09688835394264
2018,Terre-Neuve-et-Labrador,Matières plastiques,Sources des matières résidentielles récupérées,10,1.86789603370161
2018,Terre-Neuve-et-Labrador,Matières plastiques,Sources des matières non résidentielles récupérées,10,0.228992320241029
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,10,1.02762669331305
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,10,0.86487182107562
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,10,0.162754872237425
2018,Terre-Neuve-et-Labrador,Textiles,Toutes les sources des matières récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Textiles,Sources des matières résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Textiles,Sources des matières non résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Pneus,Toutes les sources des matières récupérées,10,11.2206236918104
2018,Terre-Neuve-et-Labrador,Pneus,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Pneus,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,data.All organic materials,Toutes les sources des matières récupérées,10,1.71271115552174
2018,Terre-Neuve-et-Labrador,data.All organic materials,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,data.All organic materials,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,data.Food waste and source separated organics,Toutes les sources des matières récupérées,10,
2018,Terre-Neuve-et-Labrador,data.Food waste and source separated organics,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,data.Food waste and source separated organics,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,data.Leaf and yard waste,Toutes les sources des matières récupérées,10,
2018,Terre-Neuve-et-Labrador,data.Leaf and yard waste,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,data.Leaf and yard waste,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,data.Other organic materials,Toutes les sources des matières récupérées,10,
2018,Terre-Neuve-et-Labrador,data.Other organic materials,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,data.Other organic materials,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Autres matières,Toutes les sources des matières récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Autres matières,Sources des matières résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Autres matières,Sources des matières non résidentielles récupérées,10,0.0
2018,Île-du-Prince-Édouard,Toutes les matières,Toutes les sources des matières récupérées,11,373.015716640724
2018,Île-du-Prince-Édouard,Toutes les matières,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Toutes les matières,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,11,80.2185749282473
2018,Île-du-Prince-Édouard,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,11,30.4809567907316
2018,Île-du-Prince-Édouard,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,11,49.7376181375157
2018,Île-du-Prince-Édouard,Verre,Toutes les sources des matières récupérées,11,1.76015867699118
2018,Île-du-Prince-Édouard,Verre,Sources des matières résidentielles récupérées,11,0.669911138257837
2018,Île-du-Prince-Édouard,Verre,Sources des matières non résidentielles récupérées,11,1.09024753873334
2018,Île-du-Prince-Édouard,Métaux ferreux,Toutes les sources des matières récupérées,11,61.493901838315
2018,Île-du-Prince-Édouard,Métaux ferreux,Sources des matières résidentielles récupérées,11,23.3680767639351
2018,Île-du-Prince-Édouard,Métaux ferreux,Sources des matières non résidentielles récupérées,11,38.1258250743798
2018,Île-du-Prince-Édouard,Cuivre et aluminium,Toutes les sources des matières récupérées,11,10.6726039183234
2018,Île-du-Prince-Édouard,Cuivre et aluminium,Sources des matières résidentielles récupérées,11,4.42666771750767
2018,Île-du-Prince-Édouard,Cuivre et aluminium,Sources des matières non résidentielles récupérées,11,6.24593620081572
2018,Île-du-Prince-Édouard,Métaux mélangés,Toutes les sources des matières récupérées,11,13.1617835398893
2018,Île-du-Prince-Édouard,Métaux mélangés,Sources des matières résidentielles récupérées,11,5.00463026816149
2018,Île-du-Prince-Édouard,Métaux mélangés,Sources des matières non résidentielles récupérées,11,8.15715327172778
2018,Île-du-Prince-Édouard,Électroménagers,Toutes les sources des matières récupérées,11,44.5950649879482
2018,Île-du-Prince-Édouard,Électroménagers,Sources des matières résidentielles récupérées,11,16.9448111441688
2018,Île-du-Prince-Édouard,Électroménagers,Sources des matières non résidentielles récupérées,11,27.6502538437793
2018,Île-du-Prince-Édouard,Matériel électronique,Toutes les sources des matières récupérées,11,3.00803236590284
2018,Île-du-Prince-Édouard,Matériel électronique,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Matériel électronique,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Matières plastiques,Toutes les sources des matières récupérées,11,6.16712312572656
2018,Île-du-Prince-Édouard,Matières plastiques,Sources des matières résidentielles récupérées,11,2.34468898390243
2018,Île-du-Prince-Édouard,Matières plastiques,Sources des matières non résidentielles récupérées,11,3.82243414182413
2018,Île-du-Prince-Édouard,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,11,0.0
2018,Île-du-Prince-Édouard,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,Textiles,Toutes les sources des matières récupérées,11,0.0
2018,Île-du-Prince-Édouard,Textiles,Sources des matières résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,Textiles,Sources des matières non résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,Pneus,Toutes les sources des matières récupérées,11,15.4604982299897
2018,Île-du-Prince-Édouard,Pneus,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Pneus,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,11,0.0
2018,Île-du-Prince-Édouard,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,data.All organic materials,Toutes les sources des matières récupérées,11,134.277776683152
2018,Île-du-Prince-Édouard,data.All organic materials,Sources des matières résidentielles récupérées,11,105.845959844738
2018,Île-du-Prince-Édouard,data.All organic materials,Sources des matières non résidentielles récupérées,11,28.4318168384135
2018,Île-du-Prince-Édouard,data.Food waste and source separated organics,Toutes les sources des matières récupérées,11,122.061750044332
2018,Île-du-Prince-Édouard,data.Food waste and source separated organics,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,data.Food waste and source separated organics,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,data.Leaf and yard waste,Toutes les sources des matières récupérées,11,12.2160266388194
2018,Île-du-Prince-Édouard,data.Leaf and yard waste,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,data.Leaf and yard waste,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,data.Other organic materials,Toutes les sources des matières récupérées,11,0.0
2018,Île-du-Prince-Édouard,data.Other organic materials,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,data.Other organic materials,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Autres matières,Toutes les sources des matières récupérées,11,2.20019834623897
2018,Île-du-Prince-Édouard,Autres matières,Sources des matières résidentielles récupérées,11,0.834105044693581
2018,Île-du-Prince-Édouard,Autres matières,Sources des matières non résidentielles récupérées,11,1.36609330154539
2018,Nouvelle-Écosse,Toutes les matières,Toutes les sources des matières récupérées,12,329.172868558694
2018,Nouvelle-Écosse,Toutes les matières,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Toutes les matières,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,12,76.3581104116948
2018,Nouvelle-Écosse,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,12,41.4407653481236
2018,Nouvelle-Écosse,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,12,34.9173450635711
2018,Nouvelle-Écosse,Verre,Toutes les sources des matières récupérées,12,4.34894685636834
2018,Nouvelle-Écosse,Verre,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Verre,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Métaux ferreux,Toutes les sources des matières récupérées,12,5.75424708337837
2018,Nouvelle-Écosse,Métaux ferreux,Sources des matières résidentielles récupérées,12,5.33016239948777
2018,Nouvelle-Écosse,Métaux ferreux,Sources des matières non résidentielles récupérées,12,0.424084683890603
2018,Nouvelle-Écosse,Cuivre et aluminium,Toutes les sources des matières récupérées,12,0.472937576397608
2018,Nouvelle-Écosse,Cuivre et aluminium,Sources des matières résidentielles récupérées,12,0.440715455807881
2018,Nouvelle-Écosse,Cuivre et aluminium,Sources des matières non résidentielles récupérées,12,0.0322221205897272
2018,Nouvelle-Écosse,Métaux mélangés,Toutes les sources des matières récupérées,12,
2018,Nouvelle-Écosse,Métaux mélangés,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Métaux mélangés,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Électroménagers,Toutes les sources des matières récupérées,12,1.13920787633358
2018,Nouvelle-Écosse,Électroménagers,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Électroménagers,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Matériel électronique,Toutes les sources des matières récupérées,12,3.29393226286598
2018,Nouvelle-Écosse,Matériel électronique,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Matériel électronique,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Matières plastiques,Toutes les sources des matières récupérées,12,15.6131765605901
2018,Nouvelle-Écosse,Matières plastiques,Sources des matières résidentielles récupérées,12,11.1478143008008
2018,Nouvelle-Écosse,Matières plastiques,Sources des matières non résidentielles récupérées,12,4.46536225978929
2018,Nouvelle-Écosse,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,12,1.09555210005072
2018,Nouvelle-Écosse,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,12,1.01031939397467
2018,Nouvelle-Écosse,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,12,0.0852327060760525
2018,Nouvelle-Écosse,Textiles,Toutes les sources des matières récupérées,12,
2018,Nouvelle-Écosse,Textiles,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Textiles,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Pneus,Toutes les sources des matières récupérées,12,14.8346485502125
2018,Nouvelle-Écosse,Pneus,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Pneus,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,12,51.5491564040945
2018,Nouvelle-Écosse,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,12,5.463208574826
2018,Nouvelle-Écosse,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,12,46.0869872525133
2018,Nouvelle-Écosse,data.All organic materials,Toutes les sources des matières récupérées,12,154.196359524027
2018,Nouvelle-Écosse,data.All organic materials,Sources des matières résidentielles récupérées,12,101.026742281243
2018,Nouvelle-Écosse,data.All organic materials,Sources des matières non résidentielles récupérées,12,53.1696172427843
2018,Nouvelle-Écosse,data.Food waste and source separated organics,Toutes les sources des matières récupérées,12,101.614016414572
2018,Nouvelle-Écosse,data.Food waste and source separated organics,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,data.Food waste and source separated organics,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,data.Leaf and yard waste,Toutes les sources des matières récupérées,12,19.0796530820978
2018,Nouvelle-Écosse,data.Leaf and yard waste,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,data.Leaf and yard waste,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,data.Other organic materials,Toutes les sources des matières récupérées,12,33.5026900273576
2018,Nouvelle-Écosse,data.Other organic materials,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,data.Other organic materials,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Autres matières,Toutes les sources des matières récupérées,12,
2018,Nouvelle-Écosse,Autres matières,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Autres matières,Sources des matières non résidentielles récupérées,12,
2018,Nouveau-Brunswick,Toutes les matières,Toutes les sources des matières récupérées,13,212.512183694421
2018,Nouveau-Brunswick,Toutes les matières,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Toutes les matières,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,13,36.4959240594058
2018,Nouveau-Brunswick,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,13,21.3680260922495
2018,Nouveau-Brunswick,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,13,15.1278979671563
2018,Nouveau-Brunswick,Verre,Toutes les sources des matières récupérées,13,5.71579123604634
2018,Nouveau-Brunswick,Verre,Sources des matières résidentielles récupérées,13,2.88125716258467
2018,Nouveau-Brunswick,Verre,Sources des matières non résidentielles récupérées,13,2.83453407346167
2018,Nouveau-Brunswick,Métaux ferreux,Toutes les sources des matières récupérées,13,1.97145478827302
2018,Nouveau-Brunswick,Métaux ferreux,Sources des matières résidentielles récupérées,13,1.42894780901159
2018,Nouveau-Brunswick,Métaux ferreux,Sources des matières non résidentielles récupérées,13,0.542506979261438
2018,Nouveau-Brunswick,Cuivre et aluminium,Toutes les sources des matières récupérées,13,2.80208748379293
2018,Nouveau-Brunswick,Cuivre et aluminium,Sources des matières résidentielles récupérées,13,2.61000367295395
2018,Nouveau-Brunswick,Cuivre et aluminium,Sources des matières non résidentielles récupérées,13,0.192083810838978
2018,Nouveau-Brunswick,Métaux mélangés,Toutes les sources des matières récupérées,13,0.802079696611408
2018,Nouveau-Brunswick,Métaux mélangés,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Métaux mélangés,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Électroménagers,Toutes les sources des matières récupérées,13,0.17391372062448
2018,Nouveau-Brunswick,Électroménagers,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Électroménagers,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Matériel électronique,Toutes les sources des matières récupérées,13,1.11746054819162
2018,Nouveau-Brunswick,Matériel électronique,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Matériel électronique,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Matières plastiques,Toutes les sources des matières récupérées,13,7.10839886462893
2018,Nouveau-Brunswick,Matières plastiques,Sources des matières résidentielles récupérées,13,4.06620661728728
2018,Nouveau-Brunswick,Matières plastiques,Sources des matières non résidentielles récupérées,13,3.04219224734165
2018,Nouveau-Brunswick,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,13,0.61388947653268
2018,Nouveau-Brunswick,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Textiles,Toutes les sources des matières récupérées,13,0.0
2018,Nouveau-Brunswick,Textiles,Sources des matières résidentielles récupérées,13,0.0
2018,Nouveau-Brunswick,Textiles,Sources des matières non résidentielles récupérées,13,0.0
2018,Nouveau-Brunswick,Pneus,Toutes les sources des matières récupérées,13,14.0753305983021
2018,Nouveau-Brunswick,Pneus,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Pneus,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,13,14.0376925542864
2018,Nouveau-Brunswick,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,13,0.830632695519905
2018,Nouveau-Brunswick,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,13,13.2070598587665
2018,Nouveau-Brunswick,data.All organic materials,Toutes les sources des matières récupérées,13,122.337919550628
2018,Nouveau-Brunswick,data.All organic materials,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,data.All organic materials,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,data.Food waste and source separated organics,Toutes les sources des matières récupérées,13,
2018,Nouveau-Brunswick,data.Food waste and source separated organics,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,data.Food waste and source separated organics,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,data.Leaf and yard waste,Toutes les sources des matières récupérées,13,21.3044307764988
2018,Nouveau-Brunswick,data.Leaf and yard waste,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,data.Leaf and yard waste,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,data.Other organic materials,Toutes les sources des matières récupérées,13,
2018,Nouveau-Brunswick,data.Other organic materials,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,data.Other organic materials,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Autres matières,Toutes les sources des matières récupérées,13,5.26024111709715
2018,Nouveau-Brunswick,Autres matières,Sources des matières résidentielles récupérées,13,4.7878187715202
2018,Nouveau-Brunswick,Autres matières,Sources des matières non résidentielles récupérées,13,0.472422345576946
2018,Québec,Toutes les matières,Toutes les sources des matières récupérées,24,299.482374464808
2018,Québec,Toutes les matières,Sources des matières résidentielles récupérées,24,
2018,Québec,Toutes les matières,Sources des matières non résidentielles récupérées,24,
2018,Québec,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,24,131.156125748201
2018,Québec,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,24,62.8357075175472
2018,Québec,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,24,68.3204182306538
2018,Québec,Verre,Toutes les sources des matières récupérées,24,6.92349341256435
2018,Québec,Verre,Sources des matières résidentielles récupérées,24,5.36547787151731
2018,Québec,Verre,Sources des matières non résidentielles récupérées,24,1.55801554104704
2018,Québec,Métaux ferreux,Toutes les sources des matières récupérées,24,37.7014245105283
2018,Québec,Métaux ferreux,Sources des matières résidentielles récupérées,24,4.65008082198167
2018,Québec,Métaux ferreux,Sources des matières non résidentielles récupérées,24,33.0513436885466
2018,Québec,Cuivre et aluminium,Toutes les sources des matières récupérées,24,6.29549403591365
2018,Québec,Cuivre et aluminium,Sources des matières résidentielles récupérées,24,
2018,Québec,Cuivre et aluminium,Sources des matières non résidentielles récupérées,24,6.29549403591365
2018,Québec,Métaux mélangés,Toutes les sources des matières récupérées,24,0.0
2018,Québec,Métaux mélangés,Sources des matières résidentielles récupérées,24,0.0
2018,Québec,Métaux mélangés,Sources des matières non résidentielles récupérées,24,0.0
2018,Québec,Électroménagers,Toutes les sources des matières récupérées,24,0.0
2018,Québec,Électroménagers,Sources des matières résidentielles récupérées,24,0.0
2018,Québec,Électroménagers,Sources des matières non résidentielles récupérées,24,0.0
2018,Québec,Matériel électronique,Toutes les sources des matières récupérées,24,2.5500327830698
2018,Québec,Matériel électronique,Sources des matières résidentielles récupérées,24,
2018,Québec,Matériel électronique,Sources des matières non résidentielles récupérées,24,
2018,Québec,Matières plastiques,Toutes les sources des matières récupérées,24,9.89632585190971
2018,Québec,Matières plastiques,Sources des matières résidentielles récupérées,24,7.03473765376714
2018,Québec,Matières plastiques,Sources des matières non résidentielles récupérées,24,2.86158819814257
2018,Québec,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,24,0.0
