Year,Rôles de leadership,Value
2007,Chefs dans les communautés des Premières Nations,18.7
2008,Chefs dans les communautés des Premières Nations,20.1
2009,Chefs dans les communautés des Premières Nations,18.8
2010,Chefs dans les communautés des Premières Nations,19.0
2011,Chefs dans les communautés des Premières Nations,17.8
2012,Chefs dans les communautés des Premières Nations,16.5
2013,Chefs dans les communautés des Premières Nations,17.1
2014,Chefs dans les communautés des Premières Nations,18.6
2015,Chefs dans les communautés des Premières Nations,19.5
2016,Chefs dans les communautés des Premières Nations,19.7
2017,Chefs dans les communautés des Premières Nations,18.8
2018,Chefs dans les communautés des Premières Nations,20.4
2019,Chefs dans les communautés des Premières Nations,18.5
2002,Membres de conseil des Premières Nations,27.0
2003,Membres de conseil des Premières Nations,27.1
2004,Membres de conseil des Premières Nations,27.6
2005,Membres de conseil des Premières Nations,28.6
2006,Membres de conseil des Premières Nations,29.2
2007,Membres de conseil des Premières Nations,30.3
2008,Membres de conseil des Premières Nations,31.0
2009,Membres de conseil des Premières Nations,31.0
2010,Membres de conseil des Premières Nations,29.0
2011,Membres de conseil des Premières Nations,29.1
2012,Membres de conseil des Premières Nations,29.4
2013,Membres de conseil des Premières Nations,28.7
2014,Membres de conseil des Premières Nations,29.0
2015,Membres de conseil des Premières Nations,30.5
2016,Membres de conseil des Premières Nations,30.7
2017,Membres de conseil des Premières Nations,28.6
2018,Membres de conseil des Premières Nations,28.2
2019,Membres de conseil des Premières Nations,27.4
2021,Gestion,47.3
2021,data.Management occupations,35.6
2021,Cadres supérieures,30.9
2021,Cadres intermédiaires spécialisées,49.1
2021,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.0
2021,"data.Middle management occupations in trades, transportation, production and utilities",17.0
