Year,Series,Démographie et géodémographie,Géographie,GeoCode,Value
2016,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,"Regina, Saskatchewan",,90.4
2016,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,"Saguenay, Québec",,75.4
2016,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,"Saint John, Nouveau-Brunswick",,49.1
2016,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,"Saskatoon, Saskatchewan",,82.6
2016,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,"Sherbrooke, Québec",,76.4
2016,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,"St. Catharines - Niagara, Ontario",,80.9
2016,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,"St. John's, Terre-Neuve-et-Labrador",,59.9
2016,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,"Thunder Bay, Ontario",,76.3
2016,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,"Toronto, Ontario",,93.0
2016,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,"Trois-Rivières, Québec",,75.4
2016,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,"Vancouver, Colombie-Britannique",,92.7
2016,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,"Victoria, Colombie-Britannique",,90.4
2016,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,"Windsor, Ontario",,67.1
2016,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,"Winnipeg, Manitoba",,88.2
2021,Âge,0 à 14 ans,Terre-Neuve-et-Labrador,10,6.9
2021,Âge,15 à 64 ans,Terre-Neuve-et-Labrador,10,36.2
2021,Âge,65 ans et plus,Terre-Neuve-et-Labrador,10,11.4
2021,Genre,Hommes+,Terre-Neuve-et-Labrador,10,26.3
2021,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,Terre-Neuve-et-Labrador,10,54.5
2021,Genre,Femmes+,Terre-Neuve-et-Labrador,10,28.2
2021,Âge,0 à 14 ans,Île-du-Prince-Édouard,11,5.3
2021,Âge,15 à 64 ans,Île-du-Prince-Édouard,11,24.1
2021,Âge,65 ans et plus,Île-du-Prince-Édouard,11,7.9
2021,Genre,Hommes+,Île-du-Prince-Édouard,11,19.5
2021,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,Île-du-Prince-Édouard,11,40.8
2021,Genre,Femmes+,Île-du-Prince-Édouard,11,21.2
2021,Âge,0 à 14 ans,Nouvelle-Écosse,12,8.0
2021,Âge,15 à 64 ans,Nouvelle-Écosse,12,39.2
2021,Âge,65 ans et plus,Nouvelle-Écosse,12,11.1
2021,Genre,Hommes+,Nouvelle-Écosse,12,28.1
2021,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,Nouvelle-Écosse,12,58.3
2021,Genre,Femmes+,Nouvelle-Écosse,12,30.2
2021,Âge,0 à 14 ans,Nouveau-Brunswick,13,7.5
2021,Âge,15 à 64 ans,Nouveau-Brunswick,13,33.3
2021,Âge,65 ans et plus,Nouveau-Brunswick,13,10.3
2021,Genre,Hommes+,Nouveau-Brunswick,13,24.6
2021,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,Nouveau-Brunswick,13,51.1
2021,Genre,Femmes+,Nouveau-Brunswick,13,26.5
2021,Âge,0 à 14 ans,Ontario,24,11.4
2021,Âge,15 à 64 ans,Ontario,24,49.5
2021,Âge,65 ans et plus,Ontario,24,12.9
2021,Genre,Hommes+,Ontario,24,35.9
2021,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,Ontario,24,73.8
2021,Genre,Femmes+,Ontario,24,37.9
2021,Âge,0 à 14 ans,Québec,24,12.6
2021,Âge,15 à 64 ans,Québec,24,50.7
2021,Âge,65 ans et plus,Québec,24,15.9
2021,Genre,Hommes+,Québec,24,38.7
2021,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,Québec,24,79.2
2021,Genre,Femmes+,Québec,24,40.5
2021,Âge,0 à 14 ans,Manitoba,46,13.8
2021,Âge,15 à 64 ans,Manitoba,46,55.0
2021,Âge,65 ans et plus,Manitoba,46,14.0
2021,Genre,Hommes+,Manitoba,46,40.7
2021,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,Manitoba,46,82.7
2021,Genre,Femmes+,Manitoba,46,42.0
2021,Âge,0 à 14 ans,Saskatchewan,47,14.9
2021,Âge,15 à 64 ans,Saskatchewan,47,52.1
2021,Âge,65 ans et plus,Saskatchewan,47,12.8
2021,Genre,Hommes+,Saskatchewan,47,78.1
2021,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,Saskatchewan,47,79.7
2021,Genre,Femmes+,Saskatchewan,47,81.3
2021,Âge,0 à 14 ans,Alberta,48,13.8
2021,Âge,15 à 64 ans,Alberta,48,51.9
2021,Âge,65 ans et plus,Alberta,48,10.7
2021,Genre,Hommes+,Alberta,48,38.0
2021,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,Alberta,48,76.4
2021,Genre,Femmes+,Alberta,48,38.5
2021,Âge,0 à 14 ans,Colombie-Britannique,59,10.6
2021,Âge,15 à 64 ans,Colombie-Britannique,59,50.4
2021,Âge,65 ans et plus,Colombie-Britannique,59,14.9
2021,Genre,Hommes+,Colombie-Britannique,59,37.0
2021,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,Colombie-Britannique,59,75.9
2021,Genre,Femmes+,Colombie-Britannique,59,38.9
2021,Âge,0 à 14 ans,Yukon,60,13.2
2021,Âge,15 à 64 ans,Yukon,60,52.1
2021,Âge,65 ans et plus,Yukon,60,10.1
2021,Genre,Hommes+,Yukon,60,37.0
2021,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,Yukon,60,75.5
2021,Genre,Femmes+,Yukon,60,38.5
2021,Âge,0 à 14 ans,Territoires du Nord-Ouest,61,17.7
2021,Âge,15 à 64 ans,Territoires du Nord-Ouest,61,63.1
2021,Âge,65 ans et plus,Territoires du Nord-Ouest,61,7.0
2021,Genre,Hommes+,Territoires du Nord-Ouest,61,43.7
2021,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,Territoires du Nord-Ouest,61,87.9
2021,Genre,Femmes+,Territoires du Nord-Ouest,61,44.2
2021,Âge,0 à 14 ans,Canada,,11.8
2021,Âge,15 à 64 ans,Canada,,49.7
2021,Âge,65 ans et plus,Canada,,13.6
2021,Genre,Hommes+,Canada,,37.6
2021,Total,Pourcentage de la population située à moins de 500 mètres d’un arrêt de transport en commun,Canada,,75.1
2021,Genre,Femmes+,Canada,,39.3
