Year,data.Geography,data.Economic family type,Value
2011,data.Canada,data.Elderly females not in an economic family,25600.0
2012,data.Canada,data.Elderly females not in an economic family,26700.0
2013,data.Canada,data.Elderly females not in an economic family,27600.0
2014,data.Canada,data.Elderly females not in an economic family,28400.0
2015,data.Canada,data.Elderly females not in an economic family,27600.0
2016,data.Canada,data.Elderly females not in an economic family,27400.0
2017,data.Canada,data.Elderly females not in an economic family,27800.0
2018,data.Canada,data.Elderly females not in an economic family,28500.0
2019,data.Canada,data.Elderly females not in an economic family,28700.0
2010,data.Canada,data.Non-elderly persons not in an economic family,32000.0
2011,data.Canada,data.Non-elderly persons not in an economic family,30200.0
2012,data.Canada,data.Non-elderly persons not in an economic family,31500.0
2013,data.Canada,data.Non-elderly persons not in an economic family,33000.0
2014,data.Canada,data.Non-elderly persons not in an economic family,32300.0
2015,data.Canada,data.Non-elderly persons not in an economic family,31600.0
2016,data.Canada,data.Non-elderly persons not in an economic family,32200.0
2017,data.Canada,data.Non-elderly persons not in an economic family,32900.0
2018,data.Canada,data.Non-elderly persons not in an economic family,32700.0
2019,data.Canada,data.Non-elderly persons not in an economic family,33800.0
2010,data.Canada,data.Non-elderly males not in an economic family,33300.0
2011,data.Canada,data.Non-elderly males not in an economic family,32800.0
2012,data.Canada,data.Non-elderly males not in an economic family,34200.0
2013,data.Canada,data.Non-elderly males not in an economic family,34800.0
2014,data.Canada,data.Non-elderly males not in an economic family,33700.0
2015,data.Canada,data.Non-elderly males not in an economic family,34100.0
2016,data.Canada,data.Non-elderly males not in an economic family,34200.0
2017,data.Canada,data.Non-elderly males not in an economic family,34700.0
2018,data.Canada,data.Non-elderly males not in an economic family,33900.0
2019,data.Canada,data.Non-elderly males not in an economic family,35900.0
2010,data.Canada,data.Non-elderly females not in an economic family,29600.0
2011,data.Canada,data.Non-elderly females not in an economic family,26600.0
2012,data.Canada,data.Non-elderly females not in an economic family,29300.0
2013,data.Canada,data.Non-elderly females not in an economic family,31100.0
2014,data.Canada,data.Non-elderly females not in an economic family,30100.0
2015,data.Canada,data.Non-elderly females not in an economic family,28100.0
2016,data.Canada,data.Non-elderly females not in an economic family,29600.0
2017,data.Canada,data.Non-elderly females not in an economic family,31100.0
2018,data.Canada,data.Non-elderly females not in an economic family,31200.0
2019,data.Canada,data.Non-elderly females not in an economic family,32200.0
2010,data.Atlantic provinces,data.Economic families and persons not in an economic family,51100.0
2011,data.Atlantic provinces,data.Economic families and persons not in an economic family,51900.0
2012,data.Atlantic provinces,data.Economic families and persons not in an economic family,52700.0
2013,data.Atlantic provinces,data.Economic families and persons not in an economic family,53600.0
2014,data.Atlantic provinces,data.Economic families and persons not in an economic family,54000.0
2015,data.Atlantic provinces,data.Economic families and persons not in an economic family,53900.0
2016,data.Atlantic provinces,data.Economic families and persons not in an economic family,54500.0
2017,data.Atlantic provinces,data.Economic families and persons not in an economic family,54500.0
2018,data.Atlantic provinces,data.Economic families and persons not in an economic family,55800.0
2019,data.Atlantic provinces,data.Economic families and persons not in an economic family,55700.0
2010,data.Atlantic provinces,data.Economic families,67000.0
2011,data.Atlantic provinces,data.Economic families,69300.0
2012,data.Atlantic provinces,data.Economic families,69200.0
2013,data.Atlantic provinces,data.Economic families,70700.0
2014,data.Atlantic provinces,data.Economic families,72000.0
2015,data.Atlantic provinces,data.Economic families,73700.0
2016,data.Atlantic provinces,data.Economic families,72600.0
2017,data.Atlantic provinces,data.Economic families,72900.0
2018,data.Atlantic provinces,data.Economic families,73200.0
2019,data.Atlantic provinces,data.Economic families,73600.0
2010,data.Atlantic provinces,data.Elderly families,46000.0
2011,data.Atlantic provinces,data.Elderly families,47100.0
2012,data.Atlantic provinces,data.Elderly families,49700.0
2013,data.Atlantic provinces,data.Elderly families,51800.0
2014,data.Atlantic provinces,data.Elderly families,53600.0
2015,data.Atlantic provinces,data.Elderly families,52700.0
2016,data.Atlantic provinces,data.Elderly families,55300.0
2017,data.Atlantic provinces,data.Elderly families,55400.0
2018,data.Atlantic provinces,data.Elderly families,57400.0
2019,data.Atlantic provinces,data.Elderly families,56400.0
2010,data.Atlantic provinces,data.Elderly couples,45800.0
2011,data.Atlantic provinces,data.Elderly couples,46800.0
2012,data.Atlantic provinces,data.Elderly couples,49000.0
2013,data.Atlantic provinces,data.Elderly couples,51000.0
2014,data.Atlantic provinces,data.Elderly couples,53200.0
2015,data.Atlantic provinces,data.Elderly couples,52100.0
2016,data.Atlantic provinces,data.Elderly couples,54200.0
2017,data.Atlantic provinces,data.Elderly couples,55300.0
2018,data.Atlantic provinces,data.Elderly couples,56800.0
2019,data.Atlantic provinces,data.Elderly couples,55900.0
2010,data.Atlantic provinces,data.Other elderly families,46100.0
2011,data.Atlantic provinces,data.Other elderly families,50200.0
2012,data.Atlantic provinces,data.Other elderly families,61600.0
2013,data.Atlantic provinces,data.Other elderly families,54400.0
2014,data.Atlantic provinces,data.Other elderly families,57200.0
2015,data.Atlantic provinces,data.Other elderly families,56200.0
2016,data.Atlantic provinces,data.Other elderly families,65600.0
2017,data.Atlantic provinces,data.Other elderly families,55800.0
2018,data.Atlantic provinces,data.Other elderly families,62000.0
2019,data.Atlantic provinces,data.Other elderly families,61800.0
2010,data.Atlantic provinces,data.Non-elderly families,73100.0
2011,data.Atlantic provinces,data.Non-elderly families,74700.0
2012,data.Atlantic provinces,data.Non-elderly families,74700.0
2013,data.Atlantic provinces,data.Non-elderly families,78000.0
2014,data.Atlantic provinces,data.Non-elderly families,79400.0
2015,data.Atlantic provinces,data.Non-elderly families,81800.0
2016,data.Atlantic provinces,data.Non-elderly families,80100.0
2017,data.Atlantic provinces,data.Non-elderly families,79900.0
2018,data.Atlantic provinces,data.Non-elderly families,80500.0
2019,data.Atlantic provinces,data.Non-elderly families,80200.0
2010,data.Atlantic provinces,data.Couples,65600.0
2011,data.Atlantic provinces,data.Couples,68300.0
2012,data.Atlantic provinces,data.Couples,67500.0
2013,data.Atlantic provinces,data.Couples,71300.0
2014,data.Atlantic provinces,data.Couples,72000.0
2015,data.Atlantic provinces,data.Couples,73000.0
2016,data.Atlantic provinces,data.Couples,75700.0
2017,data.Atlantic provinces,data.Couples,73400.0
2018,data.Atlantic provinces,data.Couples,72900.0
2019,data.Atlantic provinces,data.Couples,76300.0
2010,data.Atlantic provinces,data.Couples with children,84400.0
2011,data.Atlantic provinces,data.Couples with children,87800.0
2012,data.Atlantic provinces,data.Couples with children,87900.0
2013,data.Atlantic provinces,data.Couples with children,89400.0
2014,data.Atlantic provinces,data.Couples with children,92300.0
2015,data.Atlantic provinces,data.Couples with children,97100.0
2016,data.Atlantic provinces,data.Couples with children,95700.0
2017,data.Atlantic provinces,data.Couples with children,96800.0
2018,data.Atlantic provinces,data.Couples with children,97200.0
2019,data.Atlantic provinces,data.Couples with children,92300.0
2010,data.Atlantic provinces,data.Couples with other relatives,101700.0
2011,data.Atlantic provinces,data.Couples with other relatives,105800.0
2012,data.Atlantic provinces,data.Couples with other relatives,112300.0
2013,data.Atlantic provinces,data.Couples with other relatives,105000.0
2014,data.Atlantic provinces,data.Couples with other relatives,115100.0
2015,data.Atlantic provinces,data.Couples with other relatives,110300.0
2016,data.Atlantic provinces,data.Couples with other relatives,105800.0
2017,data.Atlantic provinces,data.Couples with other relatives,110100.0
2018,data.Atlantic provinces,data.Couples with other relatives,109800.0
2019,data.Atlantic provinces,data.Couples with other relatives,117500.0
2010,data.Atlantic provinces,data.Lone-parent families,43900.0
2011,data.Atlantic provinces,data.Lone-parent families,40700.0
2012,data.Atlantic provinces,data.Lone-parent families,40500.0
2013,data.Atlantic provinces,data.Lone-parent families,38400.0
2014,data.Atlantic provinces,data.Lone-parent families,41900.0
2015,data.Atlantic provinces,data.Lone-parent families,41300.0
2016,data.Atlantic provinces,data.Lone-parent families,46100.0
2017,data.Atlantic provinces,data.Lone-parent families,47100.0
2018,data.Atlantic provinces,data.Lone-parent families,48800.0
2019,data.Atlantic provinces,data.Lone-parent families,53700.0
2010,data.Atlantic provinces,data.Male lone-parent families,52500.0
2011,data.Atlantic provinces,data.Male lone-parent families,45800.0
2012,data.Atlantic provinces,data.Male lone-parent families,58300.0
2013,data.Atlantic provinces,data.Male lone-parent families,41300.0
2014,data.Atlantic provinces,data.Male lone-parent families,43900.0
2015,data.Atlantic provinces,data.Male lone-parent families,51000.0
2016,data.Atlantic provinces,data.Male lone-parent families,49000.0
2017,data.Atlantic provinces,data.Male lone-parent families,62600.0
2018,data.Atlantic provinces,data.Male lone-parent families,52100.0
2019,data.Atlantic provinces,data.Male lone-parent families,57000.0
2010,data.Atlantic provinces,data.Female lone-parent families,41900.0
2011,data.Atlantic provinces,data.Female lone-parent families,40400.0
2012,data.Atlantic provinces,data.Female lone-parent families,35700.0
2013,data.Atlantic provinces,data.Female lone-parent families,38100.0
2014,data.Atlantic provinces,data.Female lone-parent families,40200.0
2015,data.Atlantic provinces,data.Female lone-parent families,39400.0
2016,data.Atlantic provinces,data.Female lone-parent families,45100.0
2017,data.Atlantic provinces,data.Female lone-parent families,44700.0
2018,data.Atlantic provinces,data.Female lone-parent families,47700.0
2019,data.Atlantic provinces,data.Female lone-parent families,50700.0
2010,data.Atlantic provinces,data.Other non-elderly families,62300.0
2011,data.Atlantic provinces,data.Other non-elderly families,61700.0
2012,data.Atlantic provinces,data.Other non-elderly families,61600.0
2013,data.Atlantic provinces,data.Other non-elderly families,64100.0
2014,data.Atlantic provinces,data.Other non-elderly families,60600.0
2015,data.Atlantic provinces,data.Other non-elderly families,60300.0
2016,data.Atlantic provinces,data.Other non-elderly families,67000.0
2017,data.Atlantic provinces,data.Other non-elderly families,64300.0
2018,data.Atlantic provinces,data.Other non-elderly families,64100.0
2019,data.Atlantic provinces,data.Other non-elderly families,68000.0
2010,data.Atlantic provinces,data.Persons not in an economic family,25100.0
2011,data.Atlantic provinces,data.Persons not in an economic family,25700.0
2012,data.Atlantic provinces,data.Persons not in an economic family,26900.0
2013,data.Atlantic provinces,data.Persons not in an economic family,28700.0
2014,data.Atlantic provinces,data.Persons not in an economic family,27300.0
2015,data.Atlantic provinces,data.Persons not in an economic family,25800.0
2016,data.Atlantic provinces,data.Persons not in an economic family,27600.0
2017,data.Atlantic provinces,data.Persons not in an economic family,27900.0
2018,data.Atlantic provinces,data.Persons not in an economic family,27700.0
2019,data.Atlantic provinces,data.Persons not in an economic family,29000.0
2010,data.Atlantic provinces,data.Elderly persons not in an economic family,23700.0
2011,data.Atlantic provinces,data.Elderly persons not in an economic family,23800.0
2012,data.Atlantic provinces,data.Elderly persons not in an economic family,24300.0
2013,data.Atlantic provinces,data.Elderly persons not in an economic family,25900.0
2014,data.Atlantic provinces,data.Elderly persons not in an economic family,24300.0
2015,data.Atlantic provinces,data.Elderly persons not in an economic family,25200.0
2016,data.Atlantic provinces,data.Elderly persons not in an economic family,26000.0
2017,data.Atlantic provinces,data.Elderly persons not in an economic family,26900.0
2018,data.Atlantic provinces,data.Elderly persons not in an economic family,25500.0
2019,data.Atlantic provinces,data.Elderly persons not in an economic family,26900.0
2010,data.Atlantic provinces,data.Elderly males not in an economic family,23900.0
2011,data.Atlantic provinces,data.Elderly males not in an economic family,24100.0
2012,data.Atlantic provinces,data.Elderly males not in an economic family,24100.0
2013,data.Atlantic provinces,data.Elderly males not in an economic family,26100.0
2014,data.Atlantic provinces,data.Elderly males not in an economic family,26100.0
2015,data.Atlantic provinces,data.Elderly males not in an economic family,28000.0
2016,data.Atlantic provinces,data.Elderly males not in an economic family,27000.0
2017,data.Atlantic provinces,data.Elderly males not in an economic family,28000.0
2018,data.Atlantic provinces,data.Elderly males not in an economic family,26800.0
2019,data.Atlantic provinces,data.Elderly males not in an economic family,27900.0
2010,data.Atlantic provinces,data.Elderly females not in an economic family,23300.0
2011,data.Atlantic provinces,data.Elderly females not in an economic family,23600.0
2012,data.Atlantic provinces,data.Elderly females not in an economic family,24400.0
2013,data.Atlantic provinces,data.Elderly females not in an economic family,25600.0
2014,data.Atlantic provinces,data.Elderly females not in an economic family,23600.0
2015,data.Atlantic provinces,data.Elderly females not in an economic family,24200.0
2016,data.Atlantic provinces,data.Elderly females not in an economic family,25800.0
2017,data.Atlantic provinces,data.Elderly females not in an economic family,26500.0
2018,data.Atlantic provinces,data.Elderly females not in an economic family,25200.0
2019,data.Atlantic provinces,data.Elderly females not in an economic family,25800.0
2010,data.Atlantic provinces,data.Non-elderly persons not in an economic family,26800.0
2011,data.Atlantic provinces,data.Non-elderly persons not in an economic family,28100.0
2012,data.Atlantic provinces,data.Non-elderly persons not in an economic family,29400.0
2013,data.Atlantic provinces,data.Non-elderly persons not in an economic family,30200.0
2014,data.Atlantic provinces,data.Non-elderly persons not in an economic family,29500.0
2015,data.Atlantic provinces,data.Non-elderly persons not in an economic family,26200.0
2016,data.Atlantic provinces,data.Non-elderly persons not in an economic family,28500.0
2017,data.Atlantic provinces,data.Non-elderly persons not in an economic family,28800.0
2018,data.Atlantic provinces,data.Non-elderly persons not in an economic family,29200.0
2019,data.Atlantic provinces,data.Non-elderly persons not in an economic family,30400.0
2010,data.Atlantic provinces,data.Non-elderly males not in an economic family,28300.0
2011,data.Atlantic provinces,data.Non-elderly males not in an economic family,29100.0
2012,data.Atlantic provinces,data.Non-elderly males not in an economic family,30000.0
2013,data.Atlantic provinces,data.Non-elderly males not in an economic family,31800.0
2014,data.Atlantic provinces,data.Non-elderly males not in an economic family,30600.0
2015,data.Atlantic provinces,data.Non-elderly males not in an economic family,28300.0
2016,data.Atlantic provinces,data.Non-elderly males not in an economic family,28900.0
2017,data.Atlantic provinces,data.Non-elderly males not in an economic family,31200.0
2018,data.Atlantic provinces,data.Non-elderly males not in an economic family,31100.0
2019,data.Atlantic provinces,data.Non-elderly males not in an economic family,31700.0
2010,data.Atlantic provinces,data.Non-elderly females not in an economic family,25600.0
2011,data.Atlantic provinces,data.Non-elderly females not in an economic family,25100.0
2012,data.Atlantic provinces,data.Non-elderly females not in an economic family,27100.0
2013,data.Atlantic provinces,data.Non-elderly females not in an economic family,29300.0
2014,data.Atlantic provinces,data.Non-elderly females not in an economic family,27600.0
2015,data.Atlantic provinces,data.Non-elderly females not in an economic family,25400.0
2016,data.Atlantic provinces,data.Non-elderly females not in an economic family,28000.0
2017,data.Atlantic provinces,data.Non-elderly females not in an economic family,25400.0
2018,data.Atlantic provinces,data.Non-elderly females not in an economic family,28000.0
2019,data.Atlantic provinces,data.Non-elderly females not in an economic family,28400.0
2010,data.Newfoundland and Labrador,data.Economic families and persons not in an economic family,52000.0
2011,data.Newfoundland and Labrador,data.Economic families and persons not in an economic family,52400.0
2012,data.Newfoundland and Labrador,data.Economic families and persons not in an economic family,54900.0
2013,data.Newfoundland and Labrador,data.Economic families and persons not in an economic family,59200.0
2014,data.Newfoundland and Labrador,data.Economic families and persons not in an economic family,60300.0
2015,data.Newfoundland and Labrador,data.Economic families and persons not in an economic family,57800.0
2016,data.Newfoundland and Labrador,data.Economic families and persons not in an economic family,59100.0
2017,data.Newfoundland and Labrador,data.Economic families and persons not in an economic family,56600.0
2018,data.Newfoundland and Labrador,data.Economic families and persons not in an economic family,58800.0
2019,data.Newfoundland and Labrador,data.Economic families and persons not in an economic family,56500.0
2010,data.Newfoundland and Labrador,data.Economic families,66600.0
2011,data.Newfoundland and Labrador,data.Economic families,69800.0
2012,data.Newfoundland and Labrador,data.Economic families,72600.0
2013,data.Newfoundland and Labrador,data.Economic families,75500.0
2014,data.Newfoundland and Labrador,data.Economic families,78300.0
2015,data.Newfoundland and Labrador,data.Economic families,81400.0
2016,data.Newfoundland and Labrador,data.Economic families,76300.0
2017,data.Newfoundland and Labrador,data.Economic families,73800.0
2018,data.Newfoundland and Labrador,data.Economic families,73300.0
2019,data.Newfoundland and Labrador,data.Economic families,74000.0
2010,data.Newfoundland and Labrador,data.Elderly families,42200.0
2011,data.Newfoundland and Labrador,data.Elderly families,43200.0
2012,data.Newfoundland and Labrador,data.Elderly families,45600.0
2013,data.Newfoundland and Labrador,data.Elderly families,52100.0
2014,data.Newfoundland and Labrador,data.Elderly families,49800.0
2015,data.Newfoundland and Labrador,data.Elderly families,45100.0
2016,data.Newfoundland and Labrador,data.Elderly families,48200.0
2017,data.Newfoundland and Labrador,data.Elderly families,51300.0
2018,data.Newfoundland and Labrador,data.Elderly families,52600.0
2019,data.Newfoundland and Labrador,data.Elderly families,47800.0
2010,data.Newfoundland and Labrador,data.Elderly couples,41000.0
2011,data.Newfoundland and Labrador,data.Elderly couples,41100.0
2012,data.Newfoundland and Labrador,data.Elderly couples,43200.0
2013,data.Newfoundland and Labrador,data.Elderly couples,49400.0
2014,data.Newfoundland and Labrador,data.Elderly couples,50400.0
2015,data.Newfoundland and Labrador,data.Elderly couples,43000.0
2016,data.Newfoundland and Labrador,data.Elderly couples,43700.0
2017,data.Newfoundland and Labrador,data.Elderly couples,50300.0
2018,data.Newfoundland and Labrador,data.Elderly couples,50700.0
2019,data.Newfoundland and Labrador,data.Elderly couples,46000.0
2010,data.Newfoundland and Labrador,data.Other elderly families,46100.0
2011,data.Newfoundland and Labrador,data.Other elderly families,50200.0
2012,data.Newfoundland and Labrador,data.Other elderly families,60200.0
2013,data.Newfoundland and Labrador,data.Other elderly families,53000.0
2014,data.Newfoundland and Labrador,data.Other elderly families,
2015,data.Newfoundland and Labrador,data.Other elderly families,58700.0
2016,data.Newfoundland and Labrador,data.Other elderly families,
2017,data.Newfoundland and Labrador,data.Other elderly families,54300.0
2018,data.Newfoundland and Labrador,data.Other elderly families,62000.0
2019,data.Newfoundland and Labrador,data.Other elderly families,68100.0
2010,data.Newfoundland and Labrador,data.Non-elderly families,75900.0
2011,data.Newfoundland and Labrador,data.Non-elderly families,75700.0
2012,data.Newfoundland and Labrador,data.Non-elderly families,81500.0
2013,data.Newfoundland and Labrador,data.Non-elderly families,83700.0
2014,data.Newfoundland and Labrador,data.Non-elderly families,88700.0
2015,data.Newfoundland and Labrador,data.Non-elderly families,92300.0
2016,data.Newfoundland and Labrador,data.Non-elderly families,85500.0
2017,data.Newfoundland and Labrador,data.Non-elderly families,82100.0
2018,data.Newfoundland and Labrador,data.Non-elderly families,86500.0
2019,data.Newfoundland and Labrador,data.Non-elderly families,83000.0
2010,data.Newfoundland and Labrador,data.Couples,60400.0
2011,data.Newfoundland and Labrador,data.Couples,63400.0
2012,data.Newfoundland and Labrador,data.Couples,66900.0
2013,data.Newfoundland and Labrador,data.Couples,70700.0
2014,data.Newfoundland and Labrador,data.Couples,75100.0
2015,data.Newfoundland and Labrador,data.Couples,79100.0
2016,data.Newfoundland and Labrador,data.Couples,82000.0
2017,data.Newfoundland and Labrador,data.Couples,74700.0
2018,data.Newfoundland and Labrador,data.Couples,74500.0
2019,data.Newfoundland and Labrador,data.Couples,77000.0
2010,data.Newfoundland and Labrador,data.Couples with children,90900.0
2011,data.Newfoundland and Labrador,data.Couples with children,94900.0
2012,data.Newfoundland and Labrador,data.Couples with children,101600.0
2013,data.Newfoundland and Labrador,data.Couples with children,93100.0
2014,data.Newfoundland and Labrador,data.Couples with children,106900.0
2015,data.Newfoundland and Labrador,data.Couples with children,104200.0
2016,data.Newfoundland and Labrador,data.Couples with children,100800.0
2017,data.Newfoundland and Labrador,data.Couples with children,108400.0
2018,data.Newfoundland and Labrador,data.Couples with children,106700.0
2019,data.Newfoundland and Labrador,data.Couples with children,97400.0
2010,data.Newfoundland and Labrador,data.Couples with other relatives,100400.0
2011,data.Newfoundland and Labrador,data.Couples with other relatives,117300.0
2012,data.Newfoundland and Labrador,data.Couples with other relatives,106600.0
2013,data.Newfoundland and Labrador,data.Couples with other relatives,119700.0
2014,data.Newfoundland and Labrador,data.Couples with other relatives,125400.0
2015,data.Newfoundland and Labrador,data.Couples with other relatives,135600.0
2016,data.Newfoundland and Labrador,data.Couples with other relatives,112800.0
2017,data.Newfoundland and Labrador,data.Couples with other relatives,122800.0
2018,data.Newfoundland and Labrador,data.Couples with other relatives,112400.0
2019,data.Newfoundland and Labrador,data.Couples with other relatives,118200.0
2010,data.Newfoundland and Labrador,data.Lone-parent families,44500.0
2011,data.Newfoundland and Labrador,data.Lone-parent families,37300.0
2012,data.Newfoundland and Labrador,data.Lone-parent families,35900.0
2013,data.Newfoundland and Labrador,data.Lone-parent families,38900.0
